 Review_date , Main review , Rating , Emp, Pros , Cons , Helpful_count,
7/3/2017," ""Good place to gain professional experiences."" ",3,Current Employee - Controller, Pros Multicultural environment| good well-being action (office massage| company car hiring| fruit and food days| language course) and company events| paid medical service| , Cons Too much overtime without compensation| lack of trainings and opportunity for improvement| lack of human resources| high expectations with low appreciation ,0,
19/2/2017," ""Mixed bag working in IT"" ",4,Current Employee - Controller - IS/IT, Pros - competitive salary- good graduate program- car lease scheme- flexible hours- private medical , Cons - mixed management- lack of opportunity- small teams can mean added pressure- old style offices- some colleagues are not very nice to others- small performance related increases ,-1,
25/3/2017," ""Nissan Europe: if you are not English and male| forget about pursuing a career here"" ",1,Current Employee - Anonymous Employee, Pros Car as benefit.I'm supposed to write at least 20 words here| but honestly I cannot think of anything else to say. , Cons Incompetent people at high level that only promote British males and look externally instead of supporting internal talent to advance their careersHR department incoherent between what they offer employees and what employees actually receive.Even if you deliver all your KPIs above expectations| if you are not best friend with the top boys' club your career will never go anywhere. ,0,
4/3/2017," ""Terrible place to work"" ",2,Former Employee - Anonymous Employee, Pros Nothing that I can think of , Cons No consistency in working there ,0,
6/2/2017," ""Very Friendly and fun Place to work Learned alot of new things"" ",4,Former Employee - Chemical Engineer, Pros Friendly| Raises Every mths| Benefits|Free saturday lunches. Paid holiday , Cons 6 days a week with basic pay| Hard work| short breaks ,0,
20/2/2017," ""Experience"" ",3,Current Employee - Anonymous Employee, Pros work hours are a good thing , Cons pay could be a bit better ,0,
5/2/2017," ""Very flexible and real multiculturalism"" ",4,Current Employee - Section Manager, Pros - Open minded structure gathering people from all around the world- Ability to change function and build a very personal path- Open to new ideas and technologies- Possibility to learn and be trained in many ways , Cons - High flexibility sometimes ends up in losing the real direction- Top management sometimes works more for the next move/promotion than for improving the organization- Poor IS to support projects- Poor HR leading to promotions and mobility based mostly on networking and barely on skills ,0,
13/2/2017," ""Product engineer"" ",2,Current Employee - Anonymous Employee, Pros Work/life balance (schedule and flexibility) , Cons Difficult to grow in the company| low volume of work ,0,
27/1/2017," ""Inspector"" ",4,Former Employee - Production Worker, Pros I enjoyed working with clients that have special needs , Cons It was a great experience learning all type of way to help clinic with special needs I feel great knowing I touched some life to try to make it better ,0,
18/1/2017," ""Fun| supportive place"" ",5,Former Employee - Anonymous Employee, Pros Great work environment. Friendly staff. Safety first. , Cons Management distant and Frustrated workers. ,0,
19/1/2017," ""French working in Japan"" ",4,Former Employee - PE2, Pros Great benefits| good work-life balance| internationalized company , Cons Inflexible culture| no company car allowance| lack of training and formal development| lack of career planning ,0,
22/2/2017," ""Slow Development"" ",1,Current Employee - Anonymous Employee, Pros you have an opportunity get the newest cars through lease options. , Cons Nissan has a slow promotion process. Your promotion is based more on how long you have been in the company than what you know. ,0,
17/1/2017," ""Great benefits| be prepared to work off shift for many years"" ",4,Former Employee - Production Supervisor, Pros Great benefits| including the lease vehicle program; good people; quality product. , Cons Be prepared to work 2nd or 3rd shift for many years before you get to 1st shift| in addition to regular weekends and backfill days. ,0,
17/1/2017," ""SCM Manager"" ",4,Current Employee - Anonymous Employee, Pros great company with ok benefits , Cons senior leadership is good ole boy network ,0,
12/1/2017," ""Finance Manager"" ",5,Current Employee - Senior Finance Manager, Pros Develop strong relationships with key stakeholders across the business and work in partnership to deliver operational excellence. , Cons Lower offers competitive salaries and comprehensive benefits and programs including: health and welfare| tuition assistance ,0,
11/1/2017," ""Good"" ",5,Current Employee - Anonymous Employee, Pros It Changes all the time so it's interesting to have new challenges and to see how people react to change , Cons The department boss is here since too long and has an old view of thingsManager is good at what he does ,0,
7/1/2017," ""Good Company. Treats Employees Well. (Not for everyone and thats okay.)"" ",5,Former Employee - Manufacturing Tech, Pros Good company| good training| and all around good experience. , Cons Forced overtime - Not unusual for this line of work but can be difficult if you're not prepared to do it. ,0,
9/1/2017," ""Decent company"" ",3,Former Employee - Buyer, Pros Many different career paths/choicesDiverse companyNice office buildingExposure to innovative new products , Cons Not enough cross-functional workIf you get stuck in purchasing you will have a very challenging time moving into other departmentsUnfair treatment of contract workers (almost discriminated against) - I was not a contractor and feel this way.Some really horrible/unethical people are in managerial roles and just get moved around if they have a bad reputation. ,0,
13/12/2016," ""Good Starting Position"" ",4,Former Employee - Anonymous Employee, Pros Friendly staff| interesting work| good car scheme , Cons Terrible IT support| backwards DB admin process| no set software frameworks or tools ,0,
13/12/2016," ""Full Buyer"" ",5,Current Employee - Buyer, Pros Great Company| great benefits and great values , Cons I have no cons for this company ,0,
12/12/2016," ""Nissan Russia"" ",5,Current Employee - Coordinator, Pros Good balance with work and private time| international projects , Cons Not very modern technologies and methodologies ,0,
11/12/2016," ""Manufacturing"" ",4,Current Employee - Bricklayer, Pros Reliable work good money overtime , Cons Shifts no life always working ,0,
10/1/2017," ""Don;t. Ever. Work. There."" ",1,Current Employee - Manufacturing, Pros You get paid| that's it ," Cons Horrible| horrible company to work for. Benefits have been slowly eroded over the years. Pension - was 50ths| now 60ths. Shift allowance down by 5%. Healthcare no longer free.Company keep the announcement of new contracts until the pay negotiations have been agreed| to use as leverage for a lower pay rise (they slipped up in 2016)Half hour notice for some departments overtime totally abhorrent.Temp workers strung along for years before being made permanentThe arrogance and contempt towards the workers| can be summed up by what the MD(at the time ) said while giving a presentation to staff about the pay negotiations| ""I only need 51%"" ",-4,
19/12/2016," ""Very disappointing experience."" ",2,Current Employee - Manager, Pros Bonus| salary| medical insurance| uniforms and work shirts and pants are issued annually| food court price are cheap with good choice of menu| capacity building training. , Cons Organizational culture| management| leadership| long working hours are expected without pay| far from town| very little green| shuttle bus are in bad conditions| pick up and returning time are fixed with no other options| alternatives are taxi which is expensive. ,0,
8/1/2017," ""Life at Nissan"" ",1,Former Employee - Anonymous Employee, Pros Great money and meeting new ppl , Cons The company don't care about ther employees ,0,
28/11/2016," ""R&D Quality"" ",5,Former Employee - Vehicle Evaluation and Quality Supervisor, Pros Great place to work. Good salary and promotions. , Cons Need to work overtime and travel. Not good if you don't like to work with people from other cultures. ,0,
12/12/2016," ""design engineer"" ",3,Current Employee - Anonymous Employee, Pros a large company with a small company feel , Cons a lot of work with below average pay ,0,
25/11/2016," ""Anonymous"" ",4,Current Employee - Supervisor, Pros A great company. Stability and good benefits. , Cons The Nissan Way is behind the Industry trends. Hard to change from old processes. ,0,
15/11/2016," ""HVAC Design and Test Supervisor"" ",4,Current Employee - HVAC Design and Test Supervisor, Pros Learning| you face many challenges to show your abilities. , Cons no money for proposals| you need to find the way to do it by yourself ,0,
15/11/2016," ""Engineer"" ",4,Former Employee - Project Engineer, Pros Good payment| good benefit. Very good engineers. , Cons Bureaucracy. Feel bureaucacy any time you need support. ,0,
23/10/2016," ""Life"" ",3,Current Employee - Production Technician, Pros The pay is alright if you're a senior employee , Cons It's not fair that only senior employees can go to preferred shifts of their choice. ,0,
8/10/2016," ""Great environment"" ",4,Former Employee - Senior Project Engineer, Pros Great people| great products| and great international opportunities , Cons Japan driven decision making and lack of transparency to some of the reasons why such decisions were made ,0,
18/10/2016," ""At an Australian level it was very high pressure| not great pay for the level of stress"" ",2,Former Employee - Business Analyst, Pros Ok pay| get a car| get good experience. If possible I'd try to move to US or Japan from Australia as they seem much better offices to work at then the Aus office. , Cons High pressure| hard to make a difference as such a large company| lacked innovation at an Australian level| working with a franchise network tough ,-1,
28/9/2016," ""Nmuk"" ",5,Current Employee - Man Staff, Pros Salary| car scheme| holidays| shutdown , Cons Overtime compulsory| workload| shift work ,0,
27/9/2016," ""Carreer development opportunity"" ",4,Current Employee - Senior Financial Analyst, Pros Highly flexible in internal job change and international mobility.Diverse culture , Cons Short term and stress full lack of long term vision.Lack of female managment ,0,
10/10/2016," ""Process engineer"" ",2,Current Employee - Anonymous Employee, Pros Good base pay for an entry level position. Helpful staff if you find the niche , Cons No formal training. Unreasonably High expectations for the amount of training and money ,-1,
8/10/2016," ""good to be for short time for your CV"" ",3,Current Employee - Anonymous Employee, Pros You would like here if you need a lot of freedom and autonomy that come with a lot of responsibility and work , Cons You would get nice people around but not management... too pity that they do not really want to do anything to change really. a lot of things going on and too much changes. ,-1,
19/9/2016," ""Good place to work"" ",5,Current Employee - Anonymous Employee, Pros Cross-functional| multicultural| open-minded| you can move through a lot of different areas , Cons Globally is a Japanese company| but locally depends on each site.Different cultures between different countries ,0,
28/9/2016," ""Auto Technician"" ",2,Current Employee - Anonymous Employee, Pros Great Technicians. The service department is well equipped. , Cons Sales department is a continuous revolving door for management. NOT ONE SINGLE GENERAL MANAGER in the past 8 years understands the service department daily operation. This leads to juvenile like decisions that interrupt work flow by continuously changing procedures. The customerultimately chooses not to do business with the dealership. Everyone Loses. ,-1,
28/9/2016," ""long working hours and pressure"" ",3,Current Employee - Sales Consultant, Pros self-employed| lots of potential to grow your income if you work hard. , Cons very long working hours and strees ,0,
13/9/2016," ""Production tech"" ",5,Former Employee - Anonymous Employee, Pros Great place great environment and people , Cons I have nothing bad to say ,0,
13/9/2016," ""Account manager"" ",5,Current Employee - Manager, Pros Diversity is great at company , Cons Senioritylack there of at company ,0,
19/9/2016," ""Decent pay in typical automotive environment"" ",3,Former Employee - California, Pros Decent / good payWork life balance , Cons Typical automotive environmentTop heavyNumerous structural changes ,0,
30/8/2016," ""It was a fantastic job but I just wanted to get into the sales engineering field."" ",5,Former Employee - Process Engineer, Pros The company offers great pay and benefits. I highly recommend working as a process engineer for nissan. The management and people I worked with were extremely helpful in my learning experience. , Cons There is a lot to learn but that would come from any job. If you are looking for a challenging yet rewarding career I would choose the automotive industry. ,-1,
17/9/2016," ""Internet Sales Manager"" ",3,Former Employee - Anonymous Employee, Pros Have your own officeGet paid for every internet leadGet paid for every internet appointment9-5 , Cons Less action than the floor ,0,
26/8/2016," ""Senioe financial analyst"" ",4,Current Employee - Senior Financial Analyst, Pros Room to try out different business areas and room for advancement. , Cons I don't think they pay women as much as male counterparts. ,0,
31/8/2016," ""Sales"" ",3,Former Employee - Anonymous Employee, Pros Worked with good people at the dealership , Cons not a big enough yearly salary ,0,
11/8/2016," ""Manufacturing Assistant Manager"" ",5,Current Employee - Manufacturing Assistant Manager, Pros Business Market shareBusiness expansionCareer path is clearWork Environment , Cons Organisation chart needs to be enlarged ,0,
14/8/2016," ""working on a shoestring but deliver miracles"" ",2,Current Employee - Program Director, Pros Everyone is working hard| mostly highly motivatedDynamic environment with lots of global rotationsUp or out mentality allows for plenty opportunitiesEasy to get an Expat assignmentAmazing products giving the internal limitations set by missing budgets and staffing , Cons Everyone (the CEO aside) is on a rotational program| no experts wantedKeep people on their toes by not allowing to build expertise and comfort zonesNo budgets for anything| crazily understaffed projects.Lots of people turnover or drop out due to mismatch between workload and tools/budget providedLeadership with some| at least a little| familiarity with motor vehicles would be great.The products are not known nor understood.Benchmarking with other companies does not happenInformation is not shared within the company. Silos everywhere!Despite up or out - salaries not sufficient to aim for early retirement - an then watch VPs go unemployed at early 50ies. ,-1,
10/8/2016," ""Far from a great place to work"" ",2,Former Employee - Section Manager, Pros Very international environment| well-known automotive brand| it doesn't look bad on your CV. You get to meet some interesting people with diverse backgrounds. ," Cons Very long hours for a rather mediocre salary| unrealistic deadlines| almost no recognition| lots of pressure| no systems (key company data is shared across the business using Excel files)| very limited growth opportunities for employees starting from entry level| horrendous office building in grey town in the suburbs of Paris| overpriced Nissan Cafe with limited meal options for employees buying lunch onsite... Nissan Europe doesn't even meet the standards when it comes to basic workplace hygiene: Small insects are part of the ecosystem in restrooms and open spaces.If you get a job at Nissan Europe the first thing you'll realize when HR escorts you to your desk is that nothing is ready to welcome you: No computer| dusty desk... Sometimes even chairs are scarce in this company. So be ready to roll your sleeves up and crawl under your desk to plug all those messy cables at the right place.Still miles away from becoming a ""Great Place to Work"" I am afraid. Definitely not up to par with other European Headquarters. ",-3,
13/8/2016," ""Bdc"" ",3,Former Employee - BDC, Pros - Have the possibility of making some money although pay isn't as much as you can get at other dealerships.- pay off appoiments completed and sold , Cons - Bad management- push employees too much. ,0,
29/7/2016," ""Ron Dixon"" ",5,Current Employee - Anonymous Employee, Pros Punctual| Task oriented| works great with a team , Cons I have no cons that a I feel will affect my work flow ,0,
1/9/2016," ""STAY AWAY!!!"" ",1,Former Employee - Management, Pros Not really much benefit to this place. , Cons Work six days a week being dishonest with customers. ,0,
26/7/2016," ""Great Company"" ",5,Former Employee - Design Engineer, Pros Great company to work if y ou are a self-learner| as R&D all knowledge is easy to access.RH tries to implement new ideas such as Short Fridays or Home Office and suceed.The Design Engineer needs to constantly be in touch with the assembly plant| which in turn gives teh engineer a high knowledge of the assembly process. This also applies to supplier facilities.Monozukuri idea excels at teaching employees cross-functional problem solving. ," Cons Sometimes Japanese engineers are seen as ""Gurus"" just because a Japanese engineer said it| it is true| thus| trying to implement new ideas or patents as a non-Japanese is difficult since everything has to go through or from Japan.In Mexico| payment is Average not Top of the industry| so atrition will always be present if compensation benefits are not given.The only way to go up on you carreer ladder is to do more than you are paid for| If an engineer only does what he is being paid for| he will not have a raise.Home office is not accesible to Design Engineers since there are no Lap-Tops available.Work-Life balance is non-existent. It is seen as ""bad"" to leave the office at the hour you are supposed to go.Primarily employee dissatisfaction radicates on work-life balance| new generations require to have extra activities (football| swiming| dancing| playing videogames| etc) but management fails to see and sense this| thinking the new workforce has the same mindset as they do. ",0,
8/8/2016," ""Experince At Nissan"" ",3,Current Employee - Anonymous Employee, Pros Good Place to learn and good level of exposure , Cons Nothing really o specify since I personally believe there are no cons ,0,
2/8/2016," ""Production technician"" ",3,Former Employee - Anonymous Employee, Pros Good Benefits and great career opportunities , Cons Long hours and no days off. ,0,
28/7/2016," ""moderate working environment.Not much challenging work."" ",3,Former Employee - Software Engineer, Pros great for work life balance , Cons no work challenge| not much exposure to current technology| less approachable hierarchical management | less competitive compensation | no perks ,0,
14/8/2016," ""Shocking! Stay well away from NMUK"" ",1,Current Employee - Production Operative, Pros Good pay and benefits for unskilled/qualified lads. Car scheme is good aslong as you treat the car with respect otherwise repair costs can run very high| very quickly. , Cons The list is endless! Too much mandatory overtime. Zero help/support when you're genuinely unfit for work. I was off for 6 weeks due to a head injury and received endless calls| letters| appointments at the personnel dept and threats. Provided all necessary proof that was asked of me and because it all stated I was unfit to be onsite never mind work I was threatened with the sack and that was after their own OH Dr said I shouldn't be there.You're basically just another body that can easily be replaced| regardless of length of service or skill level.If you're happy to stand and do the same thing literally every minute for up to 10 hours and take your supervisors crap lying down then this is the place for you. ,-1,
8/7/2016," ""Good place to work"" ",5,Current Employee - Anonymous Employee, Pros Salary a bit over the spanish market nowadays. Free collective transport| very cheap lunch in the canteen| possibility to lease a car. , Cons Bad HHRR department| they don't care about their employees. They work bad and slow. ,0,
18/7/2016," ""Product Specialist"" ",3,Current Employee - Product Specialist, Pros Innovative products| international environment| interesting industry| international career opportunities| very good work life balance , Cons Hierarchical| difficult to input new ideas| micromanagement attitude from Regional HQ| not rewarding and departments working in silos without sharing ideas ,0,
8/8/2016," ""Internet Fleet"" ",1,Former Employee - Anonymous Employee, Pros Office and get to call and check of possible leads online. , Cons Not that many sales very military style and low pay ,0,
31/7/2016," ""Superviser"" ",1,Current Employee - Production Supervisor, Pros A lot of overtime. Management will generally work with you if you are in management. , Cons No home life. Upper management is all about money. Lease cars are overrated ,0,
5/7/2016," ""auto tech"" ",3,Former Employee - Mechanic, Pros money wasn't horrible| there was freedom in the position but that didn't matter when it comes to a pay check , Cons management treats employees like animals| about everything was depressing due to the fact that their is extreme favoritism...I moved upwards and onwards ,-1,
23/6/2016," ""NSLC"" ",5,Current Employee - General Assistant, Pros Laid back atmosphere| friendly staff and a real team based organisation to work for. Management are understanding and easy to get on with| never order staff about and get stuck in with the rest. , Cons A lot does get asked of you| which for some people isn't a bad thing| not many staff so you do have to carry a heavy workload. ,0,
21/6/2016," ""Packaging engineer"" ",4,Current Employee - Anonymous Employee, Pros Great work enviornmentAmazing work groupTons of experienced co-workersSupporting management , Cons Can be a little overwhelming at times ,0,
14/6/2016," ""Huge quantity of challenges and growth opportunities"" ",4,Former Employee - Anonymous Employee, Pros There's lots of learning opportunities if you are looking to get your hands dirty! That's awesome. , Cons Since the Japanese culture is completely opposite to Western| Nissan faces a terrible conflict of ideas and practices inside the organization. ,0,
23/6/2016," ""Worst job ever"" ",2,Current Employee - BDC Assistant, Pros semi discount when you buy a car ," Cons Change of pay when you preform well for the WORSE""Benefits"" are a jokeco workers are lazythey will literally hire anyone ",0,
25/5/2016," ""Diverse and challenging but slow to progress"" ",4,Current Employee - Quality Assurance Engineer, Pros Opportunity for time abroad whether for vehicle development or placement in another plant (this is quite rare though). Opportunity to work on new model development and co-ordinate trials. Many cross functional teams which helps build relationships within other departments. , Cons Very flat structure which means promotion if difficult which can lead to demotivating. Holidays set at specific times of year which is great if you have kids but very limiting if you don't. Experience is thought of in years served and not your actual qualifications. ,0,
24/5/2016," ""Great company but hectic"" ",4,Former Employee - Anonymous Employee, Pros They could give you quite a lot of responsibilities easily. You can try once and fail.Salaries are above average for car manufacturers industry. Company car fromSection manager level.People are smart| but sharp. , Cons HR talent management| evaluation process| bonus is a JOKE !!! Frustrating every year.At some point it makes no sense to run like chicken without head just for reporting on a last minute basis. ,0,
7/6/2016," ""No employee friendly approach"" ",2,Former Employee - Anonymous Employee, Pros Good location in the middle of the French side of Switzerland with good salary , Cons The salaries are lower than in other companies around. No promotion opportunities linked to performance. Not good working environment ,0,
22/5/2016," ""Great Work Environment"" ",5,Former Employee - Anonymous Employee, Pros It was a great work experience| I learned a lot as a data analyst there. , Cons The bad thing was that the job was very demanding. ,0,
19/5/2016," ""good environment"" ",5,Former Employee - Anonymous Employee, Pros such a nice team| i had a lot to learn| and great car company and i hope i can get back to them , Cons not really much to say| i wish i was implicated more in the projects| not just overlook and just hoover around employes ,0,
17/5/2016," ""Good place to work"" ",4,Former Employee - Anonymous Employee, Pros Great company car program , Cons Work every other Saturday ,0,
29/5/2016," ""Demanding environment"" ",3,Current Employee - Product Manager, Pros Broad carreer opportunities| exposure to top management| ownership , Cons Requires committment and devotion to company.Tendency to micromanagement.Lean management ,0,
25/5/2016," ""Ok"" ",3,Former Employee - Auditor, Pros Some of the people| onsite bank| pharmacy and clinic. , Cons Females don't advance as fast as males. Unprofessional. ,0,
3/5/2016," ""Front desk"" ",5,Current Employee - Anonymous Employee, Pros Very good job| you can work up in promotions as long As you work hard and stay focused. , Cons Working every weekend| unless you get vacation time. ,0,
16/5/2016," ""Production Technician"" ",2,Former Employee - Anonymous Employee, Pros $13 hourly. Plenty of overtime which counts and time and a half. Sunday's count as double time pay. , Cons Hot environment. Always at work. They made us work every weekend for nearly the whole year. Production goals are unrealistic making you run a ridiculously large amount of total parts. ,0,
