 Review_date , Main review , Rating , Emp, Pros , Cons , Helpful_count,,
20/8/2016,My dream company,5,Current Employee - Executive Assistant,ProsIts my dream company to work with | i love the way they treat me i enjoy my job every second working,ConsNo appraisal | no Appreciation| too much false statement,0,,
24/8/2016,Good Company,3,Current Employee - Operations Lead,ProsGood Managers | Work life balance,ConsVery limited opportunities in Gurgaon Center.,0,,
20/8/2016,Not so good anymore,3,Current Employee - Financial Analyst,Pros1. Good salary2. Work from home option3. Good international exposure4. Job rotation,ConsI have been working with Ford| Chennai over 3 years. It used to be great with work from home flexibility| free shuttle. Of late too much cost cutting focus has ruined it.1. High politics2. No work load assessment EVER!!3. Mostly copy-paste work| poor learning4. No added perks5. Too much customer driven culture despite of 'One Ford' mantra.. Quite contradictory,-1,,
4/8/2016,"Superb Company to Work - IT Operations Lead""""",4,Current Employee - IT Operations Lead,Pros1. Good Salary as compared to many other companies.2. Bi-annual appraisal.3. Flexible working timings.4. Good Work Life Balance.5. Mature Higher Management.6. Those who work well are rewarded well.,ConsNothing as such. Company should plan for team outings which I feel is missing here.,0,,
5/8/2016,No technical | only manage,3,Former Employee - Product Engineer,ProsNice freedom of expression in company . lot of working conditions. But you won't find THE FORD CULTURE here in sanand Gujarat plant as its there in Cheenai plant...work is not so good..nothing technical only .supplier management is work for Enginner,ConsGood company but still lacking in the very ford culture.You won't be bore because lot of work is there.Good exposure for those who new to plants and manufacturing.,-1,,
15/7/2016,Ford India Experience,5,Current Employee - Anonymous Employee,ProsBest Work life balance| Good culture,ConsDelay in Decision making| Reactive environment,0,,
13/7/2016,Good company but lacks growth,4,Current Employee - Anonymous Employee,Pros- Good work life balance- Job stability & Security- Good compensation- Transparent company,"Cons- Too much politics & favoritism- People with contacts and good ""terms"" are most likely to get promoted- No future road map for Gurgaon center. Work is moving to Chennai center- Gurgaon center is governed by Delivery Managers. HR doesn't take any action against them even if people escalate. Hence the so called open door policy is only on papers.- First Gurgaon center head was far more dynamic and had better vision in comparison to the next two who followed. Under him the center flourished but now future of this center doesn't look good",0,,
13/7/2016,Pratik Review,5,Current Employee - Software Analyst,Prosteam workwork life balance and cultural and ethical organization,Consnothing much i can say here..,0,,
9/7/2016,Employee Friendly,5,Current Employee - Senior Financial Analyst,ProsEmployee Friendly| gives importance to individuals growth and help to maintain work life balance.Lay the path for career development| extensive learning and developments programs.,ConsEverything is systematic| sometimes this leads to delay in getting things done.Being big organisation growth is time consuming.Nothing more comes to my mind,0,,
4/7/2016,Awesome Company,5,Current Employee - Anonymous Employee,ProsGreat Work Life balanceGreat learning and helping colleaguesGood Bonus and yearly twice hikes,ConsPromotion and Rotation is little tough,0,,
1/7/2016,Great place to be in,5,Current Employee - Anonymous Employee,ProsGood work and exposure to all phases of project lifecycle,ConsTechnology not latest in all prjects due to funding constraints,0,,
8/7/2016,Project Lead,3,Current Employee - Technical Project Lead,ProsWork Life Balance| Management Support|,ConsNo Growth| Lack of Technical Work at Gurgaon Center,0,,
23/6/2016,Project Manager,4,Current Employee - Project Manager,ProsGood company to work for more experienced resources.,Consof late lot of politics with leadership levels.,0,,
23/6/2016,Good growth and salary,3,Former Employee - Accounts Payable Associate,ProsDay shift work| good salary,ConsWork pressure and hectic,-2,,
28/5/2016,Great Place to Work,4,Current Employee - Anonymous Employee,ProsAwesome work life balanceCompetitive salary,ConsTechnical people will feel lost..,0,,
2/5/2016,Ford Motor Company - Technology Services,3,Former Employee - Software Engineer,ProsNice people and team..,ConsSlower to adopt new technologies.. Unrealistic deadlines and management.. Lack of recognition,-1,,
4/4/2016,Ford - 'Go Further',4,Current Employee - IT Project Manager,ProsFree culture| sound HR policies| Good work life Balance| Company strives for emerging technology and inovations.,ConsLeadership levels are responsible for entire salary Grade community - Hierarchy & Organizational structure needs to change with time.,0,,
1/4/2016,Ford India,5,Current Employee - Deputy Manager,ProsAwesome Company to work with,ConsSearching for Cons| As of now all pretty good,0,,
30/3/2016,Experience in Ford,4,Current Employee - Deputy Manager,ProsExcellent working environmentOne of the pay master among companies in IndiaWell established corporate policies (Global and regional),ConsAll systems and applications are Ford legacy systems and no integrated ERP system available,0,,
22/3/2016,Review about Ford Motor Company,5,Current Employee - Business Analyst,Pros- Excellent Work life balance- Good Pay- Functional knowledge improvement- Good Work culture,Cons- No travel opportunities.- Promotion politics.- Technical knowledge can be gained only on personal interest.,-1,,
21/3/2016,Good Work-Life balance,5,Current Employee - Software Engineer,ProsExcellent culture and get higher visibility in the organization.Work life balance is the best part,ConsNot a good place to start career for a fresher.,0,,
20/3/2016,GOOD FIRM WHICH I HAD EVER WORKED,4,Former Employee - Production Associate,Prosaccomodation|transport facility|salaray increment and employers are well educated in the firm,Consterminate without any notice and employers are well educated in the firm,0,,
18/2/2016,ford| work and live,5,Current Employee - Senior Associate,Prosemployee friendly with perfect work-life balance,Conslow salary and perks in terms of compensation,0,,
2/3/2016,description,3,Current Employee - Anonymous Employee,Prosgood work culture|salary|work life balance,Conslot of management works|no scope of tech works,0,,
11/2/2016,Employee from GDIA group.,4,Current Employee - Manager,ProsGood Work Life Balance. Job Security.,ConsNot suitable for people with higher aspirations. Not enough distinction between top performing employees and average employees.,-2,,
15/2/2016,Project Manager,4,Former Employee - Anonymous Employee,ProsNice Place to workLot of learning opportunitiesFlexibility| Opportunities for job rotation| etc.Decent Pay.,ConsNothing major at notice; Though felt sometimes lagging behind and slow to catch up with changing business needs.,0,,
4/2/2016,Good job to settle,4,Former Employee - Software Engineer,Pros1) Emphasis on work life balance2) Opportunities to interact with higher lever managers through various events,Cons1) Not the best place for IT technical roles,0,,
26/1/2016,Good place to work,5,Current Employee - Senior Gauging Engineer,Prospeace full work place| Good support for employee professional and personal life. lot off opportunity for employee grouth,Consbit difficulty to stay in chennai,0,,
10/1/2016,The Best Place to Work,5,Former Employee - Software Analyst,ProsWork Life BalanceCompensationSenior ManagementFeel Good Factor,ConsNo Cons. Enjoyed my stay here. Would love to be back again.,0,,
10/1/2016,Its a best brand status,5,Current Employee - Sales Executive,ProsIts a best company in automobile. Smart safty green and its a brand. I like that purpose so i want to doing job in company.,ConsI always positivly thinking for company.,0,,
31/12/2015,working with ford,4,Current Employee - Financial Analyst,ProsGood company to work| provide diversity in work and vast opportunity for employee's,Conssome time it takes too much time for employee growth,0,,
8/11/2015,Good Company To work for,4,Current Employee - Software Engineer,ProsWork life balancegood hikesgood culture,Consslow promotionold technology are being used,0,,
3/11/2015,Great Work Environment,4,Former Employee - Software Engineer,ProsGreat work life balance| Team members are really helpful| Open door policy| Job rotation policy is vey good| The onbording program is very good and Managers are empowering.,ConsWork hours are very untimely and working in shifts| Slow in adapting new technology|,0,,
17/10/2015,Excellent company,5,Current Employee - Senior Analyst,ProsHigh Flexiblity| good work life balance,ConsNot much management too powerful,0,,
12/10/2015,Good place to work for the past 6 years. Growth and Salary increase for 6 months once is really unique.,4,Current Employee - Financial Analyst,ProsProcedure and Policies in place which will drive the company and employee| Fun at work too..,ConsShould think once before joining to the scale of pay you are coming in. Once you come in the increment will be decided by company.,0,,
6/10/2015,Software Analyst,4,Current Employee - Software Analyst,ProsWorking more than in the company. No work pressure good for work life balance.,ConsNo cons from my side,0,,
30/9/2015,awesome,5,Current Employee - Fresher From College,ProsBest place to work and start the career....Good culture and well organized fresher training programme.. place to go further. and explore,ConsI don't have any issues with the company still now...relocation is a big concern but am sure I won't be relocated frequently,0,,
14/9/2015,Software Analyst,5,Current Employee - Software Analyst,ProsBrilliant scope for Experienced candidates.No pressure.Excellent Work life Balance.,ConsI dont see any cons yet now.,0,,
14/9/2015,Best company to work for and settle down,5,Current Employee - Business Analyst,ProsExcellent work-life balance| decent pay| employee friendly| less or no work pressure| transparent management,ConsNo cons I could find so far,0,,
10/9/2015,software enginner,4,Current Employee - Anonymous Employee,"ProsOk salary| less work.am writing this extra word| why ""glassdor"" has kept minimum limitation on 20 words minimum.if someone wants to write brief let them write. DONT MAKE PEOPLE TO WRITE FORCEFULLY. a word of advise to glassdoor.",Consnot for them who want to learn in technology domain.totally not good for those who are willing for relocate from Chennai.They need to expand.,0,,
29/7/2015,Financial Associate,4,Current Employee - Finance,ProsGood place to work and Management will support the employee,ConsLack of Application Knowledge (Tally and Sap),0,,
23/7/2015,Lot needs to be improved,3,Former Employee - FCG,ProsThis is a place for people planning to retire peacefully,ConsCompensation policy needs to be changed (convergence is not a good idea)Bureaucratic behaviour needs to go outDiversity (both gender & culturally) needs to be cultivated,-1,,
7/7/2015,Amazing Company,5,Current Employee - Deputy Manager,ProsBrilliant top management| amazing culture that has taken years to build and perfect| tailors employee growth to preferred pace| excellent cross continental team work.,ConsTakes time to get people on board and gain support| but once done| it's a fast track from there,0,,
8/7/2015,One of the best Manufacturing Companies,5,Current Employee - Project Lead,ProsEmployee recognition and growth opportunitiesCan move across different verticals,ConsNone that I can think off,0,,
20/7/2015,good place to work,3,Current Employee - Dy Manager,ProsGood vision and employee morale,Consbetter management at the middle levels,0,,
10/6/2015,Material Planner,4,Current Employee - Anonymous Employee,ProsGreat Culture & respect to all employees.,ConsSalary structure varies vastly within grades,0,,
30/5/2015,A best company for ladies,4,Former Employee - Senior Analyst,ProsGood environment| bonus| strong support and strict laws against harassment.,ConsManagement oriented. Bureaucracy should be avoided. There are no other cons,0,,
8/5/2015,Good company to work with.,5,Current Employee - Software Engineer,ProsBetter work life management.Option to rotate among different departments.,ConsCareer growth and Opportunities are limited,0,,
1/4/2015,Sophisticated Work atmosphere. Less work pressure and ample leaves with 5 days week.,3,Current Employee - Analyst,ProsWork life Balance and lots of leaves. Flexible office timings and employee friendly organisation.,ConsIf you are very much qualified| you may even report to some less qualified person just because he is older to you in the system. Growth is steady and less compared to people working with other Manufacturing companies. Learning curve is less. Very much kind of a BPO setup.,0,,
5/3/2015,I feel good @ Ford,4,Current Employee - Senior Engineer,ProsWork culture| Support from managers,ConsTo adjust with politics from agency companies,0,,
21/2/2015,Good,5,Former Employee - Operations Analyst,ProsWork Culture| Senior Management| Growth| Values and framework,ConsI did not find cons as such,-1,,
6/1/2015,Work life balance is ok.. Dont expect reward for the hardwork,3,Current Employee - Project Manager,ProsWork life balancePackagejob securityPackagejob security,ConsManagement HierarchyNot a great place for recognition,0,,
4/12/2014,it was really good,3,Current Employee - FCG,Prosthe work environment is very nice. we get lots of benefits.,Consthere are no cons as such related to the company as we all enjoy working here.,0,,
9/9/2014,Good Work environment,4,Current Employee - C3P Engineer,Prosregular salary Increments| Good work Environment,ConsLess opprotunities for technical growth,0,,
26/8/2014,Good place to work,5,Current Employee - Team Member,ProsIt is a great Work Environment| Recognition for the great work you do is on time.,ConsCareer opportunities to work in different countries,0,,
10/8/2014,Great Company to work for!!!,4,Current Employee - Financial Analyst,ProsGreat people| scope for internal movement| People always open to sharing knowledge.. the top management is very stable and rock solid..,ConsSince the company is a mammoth organization| takes time to bring in changes... also the company is bit conservative..,0,,
5/8/2014,Work life balance,4,Former Employee - Software Engineer,Proshave many benefits. Mainly they concentrate on work life balance| strict with harassment policies.Nice place to work and you will be respected always and we can question anyone anytime because of its open door policy.had really nice experience working in the environment.competitive salary comparing other companies.,ConsSome projects really should be decommissioned.they have more legacy applications and standard projects which hardly require support personnel.i wont recommend it for a fresher and people much passionated towards coding,0,,
27/7/2014,4 years as Software Analyst,4,Current Employee - Software Analyst,ProsWork Life balanceFriendly and Cultured Environment,ConsLocal PoliticsLocal Manager influence,0,,
27/6/2014,Good pay| worklife balance,4,Current Employee - Software Engineer,ProsGood Pay| work life balance| Great environment to work at. surrounded by nice people| personal growth is good.,ConsNo onsite opportunities| not much employee benefits,0,,
27/6/2014,Excellent culture and neat work style.,5,Current Employee - Financial Analyst,ProsWork culture is good| job content is of high quality and perfect work-life balance,ConsSluggish and complacent colleagues| red tape culture| over process orientation,0,,
8/6/2014,its really great to be associated to Ford family,5,Current Employee - Financial Analyst,ProsVery cordial Management . Excellent,ConsNo cons . But lets see in the coming days,0,,
5/6/2014,Financial Risk Analyst,4,Former Employee - Financial Analyst,ProsGood Work culture| Company cares about employees| Very good Sr. Management| individual focus| great work environment,ConsConservative salaries and increases| Many other companies pay better| but the Ford work culture makes it worth it and they look out for start performers,0,,
6/12/2013,Good Experience,5,Former Employee - Risk Analyst,ProsGood place to work and Timely recoginition,Consoverall satisfied so did not find any negatives,0,,
3/11/2013,Great place to work!,4,Current Employee - Software Engineer,ProsGreat work culture| strong emphasis on work life balance,ConsCompensation is average| nothing to write home about,-1,,
22/7/2013,Ford in India,5,Current Employee - Analyst,Pros1) Great work-life balance.2) People are quite helpful in general and a good focus is laid on development of the individual.3) Employees are reasonably protected from Ford's performance globally.4) Good senior management with an excellent drive.5) Initial growth is slow| but once you establish yourself and show potential| you move up really fast and exciting opportunities open up.,Cons1) Too many mediocre people clogging up positions in middle management with no hope of ever going into top management. Shouldn't they move on?2) Excessive emphasis on positive morale makes you giggle when people get 'recognized' even while doing nothing significant. Disagreement is a strict no-no and constructive criticism is generally taken as challenging authority (although this would depend on the individual| my manager and director are cool people).3) Heavily bureaucratic on an average.4) The recruitment system needs a complete overhaul.,-2,,
23/5/2013,ford motors cars are awesome,4,Current Employee - Finance,ProsIt promotes the uniqueneass and innovations in you,Consthere are no cons in ford motors,-2,,
22/5/2013,Satisfied with the growth especially in terms of Diverse Learning it has to offer.,4,Current Employee - Software Engineer,ProsWork Environment| Approachable Management| Perks| Bonus| Internal rotation| Flexible Work option,ConsDon't still have one. It has been a satisfying journey so far.,0,,
9/3/2013,Good company to work,3,Former Employee - Software Engineer,ProsIt is good company for people who want to settled down in a secure career,ConsIt's not good for incoming graduates,0,,
20/2/2013,Fantastic People and resources,5,Current Employee - Product Development Engineer,ProsPassionate peers| good work culture| focus on quality| safety and delivery. Good facilities| no hierarchy and commitment to excellence.,ConsThe place is not that competitive with everyone pretty relaxed and happy to be in their comfort zones. People seldom go out of their way to finish work.,0,,
15/2/2013,Best Company to settle down| good pay| friendly environment,4,Current Employee - Project Lead,ProsFriendly environmentCoding StandardsSalary increment twice in a year,ConsProcess here is very slow,0,,
14/2/2013,Over all good to work,4,Current Employee - Senior Consultant,Pros1. 8 hours exact work environment| no need to work Overtime.2. Less pressure.3. Very good especially for old aged people and ladies.,ConsAgency employees should be treated as Direct employees.,0,,
16/12/2012,Great place to work with is the most favourable...,4,Current Employee - Associate,ProsIt is a great opportunity for the every fresher to join this company. The greatest benefit Integrity and brand promise...,ConsThey need to work on work life balance and the model of the new vehicles to be sold to attract the middle class level people in India....,0,,
15/11/2012,have a good experience becoz culther is is good,5,Former Employee - Technical Team Lead,Prossafely working and freeness of job,Consimprove the employs salary package..,0,,
22/10/2012,Great place to work,5,Former Employee - Group Manager IT,ProsCan learn global standards in their respective functions.Great carrier growthLarge operations - so more to learn,Consno major cons i can think off,0,,
27/9/2012,Really Good company to work with,5,Current Employee - Senior Associate,ProsOpportunity to work in your area of interest and highest degree of flexibility.Great company to work with.,ConsPeople management is more important than process management.,-3,,
8/9/2012,it is best experience in this company.,5,Current Employee - Accountant,Prosin this company their are most helpful persons| who helps me a lot.,Consthis company's environment is soo good.,0,,
6/9/2012,Decent learning opportunities and a good work-life balance. Average pay masters.,4,Current Employee - Product Design Engineer,Pros- Work culture & atmosphere is great.- There is a lot of flexibility and freedom in the job assigned to you.- Work-life balance is great.,Cons- A very average pay master.- Technical learning opportunities are very less.- There is a slight and steady shift towards 'Indian culture' from its past unique (American) state.,0,,
19/8/2012,Five experience at ford motor company,5,Current Employee - Production Associate,ProsSafety is first my company,ConsNo disadvantage for my company.always good my company,0,,
28/7/2012,Just Awesome company.,5,Current Employee - Associate,ProsNice work culture| environment| very good reputation.,ConsNothing.Till now I did not get any cons.,0,,
24/6/2012,interesting,5,Current Employee - Sales Consultant,Prosgood work environment in office,Conshectic schedule during work hours,0,,
16/6/2012,Its a nice journey,4,Current Employee - Analyst - Internal Control,ProsNice Management| Provide opportunities for Growth| Take care of Employee Interest,ConsSlow speed of growth| Lack Creativity| Work like a public sector in some locations and areas.,0,,
14/4/2012,Peaceful work life| but no high level growth,4,Current Employee - Senior Team Member,ProsNo work stress| Permissions & Leave are not restricted.,ConsNo major level growth in Career and in terms of money.,0,,
30/7/2011,good learning,3,Former Employee - Senior Lead Engineer,Prosnew learnings| strategic directions are clear. Top level management assertive and aggressive.,Consno career growth even on consistent performance. Middle management is the weak link.,0,,
1/3/2011,Good company to work with,3,Former Employee - Associate - CAE,ProsSalary rangeWorking environmentEqually treatment for all employess,ConsNo incentivesMore working hoursVery conjusted work placeNo onsite requirementsMore Vendor & support engineers,0,,
15/7/2017,Company with moderate values,4,Current Employee - Anonymous Employee,ProsThere is no work pressure in supporting departments| although I have no idea how is it in the plants,ConsToo many people and no appreciation. No onsite opportunities| No internal transfer of locations. Interesting work is hard to come by,0,,
9/7/2017,buyer,3,Former Employee - Anonymous Employee,Proswork life balance| good learning oppurtunities,ConsAll work is loaded onto the lower level. Managerial & director level people will not take any responsibilities,0,,
12/6/2017,Best place to retire,4,Current Employee - Anonymous Employee,ProsIts one of the best places to work for in terms of Work life balance| Job security and pay,ConsFor non-management roles growth/ future prospects are limited. Job is not challenging and you will have much free time to spend,0,,
4/6/2017,Great place to work but,4,Current Employee - Anonymous Employee,ProsGreat place to work| good worklife balance| absolutely no chance of retrenchment,Consvery process oriented| not so great work| supervisors are pathetic,0,,
13/6/2017,ok,3,Former Employee - Anonymous Employee,Prostiming is better| depends on team,Conssalary is very compared to std,0,,
7/5/2017,overall company review,5,Former Employee - Anonymous Employee,Prosbrilliant work life balance; lots of opportunities to grow,Consnone that i could find; one of the best employers,0,,
20/4/2017,Very Good Company to Work for,4,Former Employee - Anonymous Employee,ProsCompensation & Benefits| Culture| Work Life Balance| Workplace|,ConsNot many challenging opportunities. No other con,0,,
11/3/2017,FCG,3,Former Employee - Anonymous Employee,Pros#Nice work life balance# Flexible working hours#Work from home,Cons#less work| that is why it is having good work life balance# Slow growth# No deadlines job# Not a good company for IITians,0,,
6/3/2017,Software developer review,3,Current Employee - Anonymous Employee,ProsStable| transparent company with good work life balance.,ConsCareer growth is slow and a lot of outdated technologies.,0,,
5/2/2017,Nice work life balance,4,Current Employee - Anonymous Employee,ProsNice work life balance and good salary,ConsSlow growth and less growth opportunity,0,,
17/1/2017,Good Company,4,Former Employee - Anonymous Employee,ProsGood work culture with good and helpful senior management. Team work is the key and performance is highly monitored.,ConsNo conveyance offered by company,0,,
2/1/2017,good,4,Current Employee - Anonymous Employee,Proswork life balance and salary,Consno negative| bus facility can be improved,0,,
28/12/2016,Good,4,Former Employee - Anonymous Employee,ProsGood Work Life Balance is amazing.,ConsMediocre growth and promotions are difficult to get. But the pay is good.,0,,
19/12/2016,People Centric Organization,5,Former Employee - Anonymous Employee,ProsIt is an amazing organization to work with. Has an organised people development framework and provides an equal opportunity to everyone. Amazing career charter and work life balance,ConsThe processes or the workflow get a little too delaying at times|generally in absence of the authorised person.,0,,
19/12/2016,satisfied..,4,Former Employee - Anonymous Employee,ProsVery nice learning experience. Fun work place,Conswork life balance is difficult... Huge pressure in attaining targets..,0,,
28/12/2016,Business Analyst,3,Current Employee - Anonymous Employee,ProsGood work life balance.,ConsOffice politics | challenge less work,0,,
23/11/2016,Software engineer,5,Former Employee - Anonymous Employee,ProsAmazing work culture in the company,Conscannot think of substantial cons,0,,
25/11/2016,work experience,3,Current Employee - Anonymous Employee,ProsWork life balance|timing and within city,Consno onsite oppurtunities since it is a product based company,0,,
14/11/2016,Delivery manager,3,Current Employee - Delivery Manager IT Operations,ProsGreat work life balance | work ethics.,ConsGrowth can be slow and some time and frustrating.,0,,
20/9/2016,Review,4,Current Employee - Software Analyst,ProsWork life balanceCross culture behaviourGlobal IT,ConsLess on-site opportunity except managers,0,,
19/5/2016,Very good work life balance but growth is not fair,3,Current Employee - Anonymous Employee,ProsGood work life balance,Conspolitics for Career growth .,-1,,
6/5/2016,Finanancial ananlyst,3,Current Employee - Anonymous Employee,ProsSupporting environment between team members,Consneed focus in monetary termslong working hours,-1,,
7/4/2016,good company to work for,3,Former Employee - Anonymous Employee,Proslot of learning opportunities in terms of product development |product management as well as manufacturinggood exposurework life balancepositive work environment,Consnot many cons |your experience at this company depends on your personal interaction with co workers and management,0,,
6/2/2016,Ford Motor Private Limited| Chennai,4,Current Employee - Anonymous Employee,ProsGood company to work and settle down,ConsTech enthusiasts will not get kick,0,,
24/1/2016,engineer,4,Current Employee - Anonymous Employee,Prospay and process is good in the company,Consscope of technical growth is not very good in the company,0,,
22/1/2016,Manager,3,Current Employee - Anonymous Employee,ProsGood work life balance,ConsLit of politics going up the ladder,0,,
19/11/2015,interview progress,3,Current Employee - Anonymous Employee,Prosgood company. good work,Consshifts bad| people not good,0,,
10/10/2015,Sr. Engineer - AP Packaging,4,Current Employee - Anonymous Employee,ProsLets you makes decisions| good work culture|,ConsHR to be trained first,0,,
6/9/2015,Good Company to work for,4,Current Employee - Anonymous Employee,ProsGood Compensation| Good Work| Good Learning.,ConsTechnology is out of date.,0,,
29/6/2015,Place to work,4,Current Employee - Anonymous Employee,ProsGreat environment Stress free work,Consevery company has its own cons.,0,,
16/5/2015,Great Company to work with,4,Current Employee - Anonymous Employee,ProsWork Life Balance like never before !,ConsGrowth opportunities exist but are irregular,0,,
20/3/2015,Feedback,5,Current Employee - Anonymous Employee,ProsWork Ethics are very good,ConsSometimes too detailed work procedure,0,,
5/2/2015,Management,5,Current Employee - Anonymous Employee,ProsGood Working culture and work life balance,ConsNothing specific about the company,0,,
4/5/2014,good,5,Former Employee - Anonymous Employee,Prosgood place to work and good environment,Consnothing specific. good place to learn,0,,
16/7/2017,Service mgr/ Warranty Admin,5,Current Employee - Service Manager/Warranty Administrative,ProsOpportunity to assist customers and continuing automotive education. Resources support for performing job functions is excellent. Access to latest automotive improvements.,ConsDealership is understaffed making the job awkward at times. Management trying to hold down overhead expenses means wearing many different hats| sometimes more than one at a time.,0,,
16/7/2017,Love it,5,Current Employee - Anonymous Employee,ProsHoliday pay| 401k| Medical| Jobs can be learned in 3 days or less,ConsShut-down| Lay offs| TPT status,0,,
15/7/2017,good company,4,Current Employee - Software Engineer,ProsOne of the best companies to work in within automative industries!!,ConsIsn't flexible like other software based companies,0,,
13/7/2017,Purchasing Specialist,4,Current Employee - Anonymous Employee,ProsGreat opportunity to contribute to success of a great company,Consvery large company management positions/promotions are limited,0,,
13/7/2017,Good company overall,4,Current Employee - Senior Product Development Engineer,Prosglobal programs| good people| meritocracy,Consworst thing is the politics,0,,
12/7/2017,Great culture,5,Current Employee - IT Manager,ProsLarge diverse company with positive culture.,ConsToo much bureaucracy. Specialization is high leading to gaps in responsibilities.,0,,
12/7/2017,Finance Analyst,4,Current Employee - Finance Analyst,ProsGood Salary and benefits,ConsSlow development for employees| you can have a lot of job rotations but within the same level| not growing in salary or empowerment.,0,,
12/7/2017,Good corporate leadership,4,Former Employee - Anonymous Employee,Prosat the corporate level| there was a sense of a strong corporate culture,ConsIn the remote plants| the culture deteriorated...,0,,
9/7/2017,Good company but facing many challenges,4,Current Employee - Purchasing Supervisor,ProsTake care of its employee,ConsMoving very slow in a fast moving environment,0,,
10/7/2017,Buyer,4,Current Employee - Buyer,ProsExcellent work-life balanceCompetitive salaryFriendly co-workers and relaxed management teamStable career prospects,ConsSlow career progressionVery bureaucratic! Organisation can be bogged down by processes and slow to react to changeFew benefits incentives beyond basic salary/pension/holiday package,0,,
6/7/2017,Product Engieer,5,Former Employee - Anonymous Employee,ProsTake care of their people,ConsDoesn't pay for performance.,0,,
