 Review_date , Main review , Rating , Emp, Pros , Cons , Helpful_count,,
21/8/2016,Great brand to work with,3,Former Employee - Manager,ProsGlobal exposure to world class work culture and best practices,ConsLocal management is very politicial,0,,
4/8/2016,Inter as CSE,5,Former Employee - Intern,ProsGood work culture. People are very friendly here.,ConsIt is hard to find any cons as I just worked as an intern for 2 months,0,,
13/7/2016,Good Place to work,4,Current Employee - Lead Engineer,ProsLatest Technologies and exciting work,ConsUnwanted politics and delayed decisions,0,,
8/7/2016,working in GM India,4,Former Employee - Digital Sculptor,ProsJob Security| good exposure| ideal environment to learn,ConsPoor low level management| biased views,0,,
24/6/2016,Better Work life balance but routine regular work,2,Current Employee - Lead Engineer,ProsAbove average salary compared to other competitors,ConsNo growth in career is expected as the management ladder is already crowded,0,,
1/6/2016,Good Intern Experience,5,Former Employee - Intern,ProsLearned the manufacturing function at the company,ConsShort term internship offered is less beneficial,0,,
1/5/2016,Excellent work culture and global exposure,4,Current Employee - Lead Engineer,ProsThe work culture is very good.Assured Global exposure.Well established processes.High learning possibility.,ConsNo fancy titles/positions.Flat organisation structure| people management roles are few.,-2,,
17/4/2016,Digital Modelor,5,Former Employee - Anonymous Employee,ProsGood Work Life Balance| friendly working environment.,ConsCareer Growth| Limited exposure in terms of components,0,,
30/3/2016,Great place to learn,4,Former Employee - Anonymous Employee,ProsLot of things and people to learn from.People are encouraged to come up with good ideas.,ConsWork life balance takes a toll sometimes.,-1,,
18/1/2016,Middle management is screwing up everything,4,Current Employee - Senior Engineer,ProsGood Opportunities to learn| Nice Enviroment,ConsThey are complicating all the facilities provided to Employees.,0,,
16/1/2016,GM INDIA,3,Current Employee - Ppc,ProsUS culture better than chinese culture,ConsLess focus in India by Global Leadership,0,,
13/12/2015,My opinion,4,Current Employee - Senior Engineer,ProsGood learning opportunity is seen.,ConsThe scope for growth is limited.,0,,
24/12/2015,Fresher at GM India,3,Former Employee - Graduate Engineer Trainee,ProsOpen CultureAllows you to be creative as long as results are acceptable,ConsSlow decision taking and executionLots of process oriented protocals make the overall process inefficient and superslow,0,,
11/11/2015,There is a lot of difference between GM India and GM US,2,Current Employee - Cfd Engineer,ProsThey used to provide sufficient time for training and learning,ConsPay is low and development process is very slow,0,,
12/11/2015,Worst for a fresher and Talented People,1,Current Employee - Team Leader,ProsAs a fresher you will get to face no challenges which will make you below market level and your rest of the journey in IT or Software field will be then difficult. Work flow is not transparent| everyone knows only about what's happening with respect to Politics in Company or the flow with which things proceed. This company is good for those who wants to relax and work nothing technically.,ConsOpportunities :( Weak HR and managers. They fail to provide opportunities and recognize talent. Apparently loosing the core knowledge group of employees but keep only Employees which are good in playing games/politics).,0,,
30/9/2015,Good Company to Work for,4,Former Employee - Mechanical Engineer,ProsFirst preference is given to Employee and then to projectsGood Culture,ConsPerformance review and Promotions are late,0,,
20/9/2015,personal growth,4,Current Employee - Post Production Supervisor,ProsWorld no.1 automobiles company. & new models launch every 2 years advance running competition with others automobiles company.,ConsLots up knowledge take to this company,0,,
16/9/2015,Nice Company,4,Current Employee - Anonymous Employee,ProsGood learning experience| global systems,Consslow decision making| lack of trust,0,,
14/9/2015,A balanced work environment organisation,4,Current Employee - Design Release Engineer,ProsNice Culture| Nice Management| DefinedProcess Oriented,ConsLess Challenging Work Environment.Management should try for better opportunities for employees,0,,
28/9/2015,Senior Engineer,3,Former Employee - Senior Engineer,ProsWork culture is good| policies are good| Work life balance is good| Salary is OK,ConsPeople who want to do some innovation and achieve some can't survive| lot of politics,0,,
24/8/2015,Pls Join GM to know what ethics| professionalism| culture means..,4,Former Employee - Manager,ProsReal leaders work here..Not only the department you are working in...But You get support from other department heads also| when you go with issue..unbiased leaders at all levels..Professionalism| Ethics are valued| imbibed and followed meticulously.. Overall culture is very good...Openness..Equal opportunity employer...Had worked for almost 5 years..Enjoyed every moment..,ConsToo much of paper works & documentation...But still its good from individual perspective to learnMany a reviews...,0,,
21/8/2015,Very nice company,5,Current Employee - Production/Manager Trainee,Prosit is worlds best company in automobile and world class method of work. it have defined roles for each and everyone.have a chance with new projects and learn anew things in the coompany.,Consno it is the best company in the world.no company is like a general motors india in the world,0,,
16/9/2015,No focus in India,1,Former Employee - Anonymous Employee,ProsI see some Pro's but not sure if they will be present over time..,ConsIf you are joining IT in GM India.. Then stay away.. Not sure of other departments though..,0,,
24/8/2015,Good Company to Work in,3,Current Employee - Anonymous Employee,ProsThe company is organised and follow high ethical standards| Safety is the first priority,ConsSome times it is difficult to coordinate between different Departments,0,,
12/9/2015,Truth About General Motors and Reviews on Glassdoor,1,Current Employee - Senior Project Manager,ProsNo hectic work| very easy life of every employee. If you are ladies and you are without any ambition you can settle here. In case you are good with Manager and manager likes then you need no work hard| promotion is for sure. There are many example of such promotion in GMTCI.Note: What ever review you see on Glassdoor you feel GM / GMTCI(General Motors Technical Center) is the good place to work with very good review. But you will know the truth only when you here.,ConsAs the name of GM office in Bangalore is GMTCI which is General Motors Technical Center India| it's just the opposite. Nothing technical only testing and support work happens here. In entire VE(vehicle engineering ) and PT(powertrain) only two three manager knows whats exactly technical work is happening. In GM Bangalore office in washroom there are pictures that tells employees How to Urinate and how to sit while doing.,0,,
20/8/2015,Good internship project,3,Current Employee - Intern,Pros>Good and structured projects for Interns>Adequate compensation>Good working environment,Cons>Takes only M. tech students from reputed institutes like IITs and NITs>Full time employee compensation as an engineer is a bit low,0,,
2/8/2015,Good to work... Balanced personal & professional life,5,Current Employee - Senior Engineer,ProsGood work life balanceBetter health safetyGood technical growthGood global exposures,ConsHard to get designation & promotion,0,,
31/7/2015,Very good company I had worked,5,Former Employee - QA Engineer,ProsWork life balance| cool culture| managers supportive,ConsNo cons at all here,0,,
15/7/2015,Good place to work,4,Current Employee - Lead Engineer,ProsGood work. Work life balance. Good pay benefits| Performance based bonus. Paid Holiday's,ConsToo much of hierarchy. Slow in decision making.,0,,
15/7/2015,Beautiful and peaceful work place,4,Current Employee - Change Management Analyst,ProsGet an excellent work life balance. Work in peace. Lots of entertainment activities as stress breaker.,ConsMarket sales are one that impact a lot. Work is evenly shared so u cant learn until u have self interest.,0,,
8/8/2015,Worst Place to work for (Think twice),1,Current Employee - GET (Fresher),ProsGood work life balance Better health safety.Good amount of political knowledge.,ConsNo Challenging work done in India office.No technical growth.Management doesn't bother about fresher or any resource growth as they don't care about work.Management is more worried about relocating them-self to NorthAmerice office.,-5,,
12/6/2015,Manager,4,Current Employee - Manager,ProsBest payouts and support for the employees,ConsSlow growth opportunities| opportunities not transparent,0,,
25/6/2015,Experience needed for special Roles,3,Current Employee - Engineer - Engine Design,Pros1. Working on Opel engine for German market2. Second Largest Automobile manufacturer3. Very good work environment4. Flexible office time5. USA Based Company,ConsNot satisfied with my current roles,0,,
23/6/2015,Good,3,Current Employee - Assistant General Manager,ProsGlobal exposure which helps in getting the kind of exp to work on international assignments,ConsDifficult to get things done locally as so many approvals and advices required to do a small change,0,,
6/5/2015,Excellent Global Automotive Organisation to work for,4,Current Employee - Lead Engineer,ProsYou will get Pride in working for an Automotive Giant.GM takes care of employee interestExcellent system of information sharing and openness in communication,ConsVery complicated work/business procedureDecision making is very slow at each level.,-1,,
19/4/2015,Great work life balance,4,Current Employee - Senior Engineer,ProsCool work culture. Lot of policy orientated. Perks and benefits are good.,ConsStagnant career growth after 4 to 5 years. Work will be mostly US orientated. So one need to wait for the command from US counterparts everytime.,0,,
4/4/2015,Nice Culture| Nice to work here.,4,Current Employee - Senior Engineer,ProsJob Satisfaction| Above average salary.,ConsI don't have much complaints everything being fine. Yes| may not be the highest salary payer is what I can say.,0,,
4/4/2015,Bangalore's Tech centre (Low Cost Centre) : Slowly Becoming Worst: POOR MANAGEMENT,2,Current Employee - Senior Engineer,ProsWork Life Balance: Slowly going downWork CultureQuality of workSlow but decent learning path,ConsThere are many:There is no difference between average performer & Excellent performerInstead of concentrating on work you have to concentrate on raising your voice otherwise you will be left behindManagers simply doesn't know managing people & talent| they are just followersPartiality & Politics are commonIt was one of the good place to work few years back. Now has become worst.,-1,,
6/3/2015,No focus on GM TCI,3,Former Employee - Senior Engineer,ProsGood culture (depends a lot on department and okies work if you have technical mind set. Onsite visits.,ConsLower salary levels and no room to grow in heirarchy,0,,
26/11/2014,good company but not too good,2,Current Employee - Buyer,ProsGood for learning at entry level,Constoo many policies| global influence,0,,
31/10/2014,it was a big client and learnt new things about manufacturing plants,4,Current Employee - Senior Software Engineerc,ProsAs said it was a big client had huge programs and code. so had an opportunity to work in some complex code and learn a few things.,Consthe thing of it being a big client was a disadvantage as well as very little enhancements were being developed,0,,
27/8/2014,Very fruitful with various different assignments across the globe| shaped my automotive career very well,4,Former Employee - Senior Engineer,ProsGood work-life balance| employee-focused culture| easy to get noticed by management if you are hard-working and come up with creative solutions to problems| very good exposure to different functions across the globe if you have the aptitude and show the right attitude.,Consnot very fast paced| hierarchical organizational structure| many times reactive rather than proactive| need to be good at marketing yourself to sell ideas to the management,-1,,
7/9/2014,Good place to learn but very low salary,2,Current Employee - Engineer,ProsGood place to learn and good work culture| nice people,ConsLow salary as well as not much opportunities,0,,
19/8/2014,Its great experience to work with GM.,5,Current Employee - Lead Engineer,ProsTechnical challenge| good work-life balance| a lot of learning| nice leadership,Conscan't think at this moment,0,,
26/8/2014,Slowly progressive company,2,Current Employee - Senior Engineer,ProsNo much work pressure. Like any other company one gets an opportunity to learn new things. No micro management. Good work/life balance.,ConsNo much salary. No promotions.,0,,
15/8/2014,How is GM,1,Current Employee - Senior Engineer,ProsIt is company where exposure is good. SInce I am working in India| and Indian car company are way behind than North American cos| thats why I am saying this. It may not be true for Europe and NA.,ConsProgress is very slow. No carrier path for engineers.,0,,
29/6/2014,Moderate company for automotive software development| career growth has slowed down recently,3,Current Employee - Anonymous Employee,ProsThe company gives good priority to work life balance. There is freedom for the engineer to choose how to complete her work. Micromanagement by managers is not very common. Pay is on par with the market. Brand name is an add on to the resume. Some of the projects provide great exposure to automotive technology.,ConsThere is no clear career path provided to employees (management is working on it). Career growth has slowed down considerably in recent years. There is no clear sense of direction from the upper management where the company is headed in future.,0,,
24/6/2014,Not that much good| very low salary,2,Current Employee - Cfd Analyst,Prosa bit good balance between life and work..but that does not matter if you dont have money to fulfill your life,Conshigher management not escalating the problems employees are facing,0,,
17/6/2014,constant learning possible,3,Current Employee - Senior Engineer,ProsGood work environment| excellent personal development oppurtunities,Conscompanies performance | global leaders understand of our India,0,,
7/5/2014,Greatest Research Lab,5,Former Employee - Anonymous Employee,ProsI had 8 years of service when I was laid off. The company provided an opportunity to do fundamental research which no other company could afford to. There were experts in the company who were revered world-wide. It was a workplace of great standard| unlimited freedom| terrific facilities and invaluable colleagues.,ConsWe could not last in the face of ever increasing competition. I wish we had sold more cars in India to sustain ourselves.,0,,
29/4/2014,Great Company to work a true MNC,4,Current Employee - Production Planner,ProsGreat culture| lot of learning| good and experienced leaders to guide,ConsLittile old style with process,0,,
11/4/2014,Excellent in its category,5,Current Employee - Manager,ProsTransparencyEthics&ValuesSeasoned policiesGrowth pathRewards talentArray of functions for internal job rotationsEarnest efforts in performance management and salaries marked to meet market trends every year,ConsIf one is not career minded| can still continue with no value addition to self or companyApparently it has taken forever to fix canteen quality| indeed getting betterYou cannot get to go abroad often|(thanks to every travel needs a very very valid justification) - travel not used as a motivational tool here| so each one has an opinion around this esp. with Indian way of looking at travels to make extra money,0,,
28/3/2014,Good company but not working well,5,Former Employee - Senior Researcher,ProsIt was a great place for research and product development. It encourage cutting edge technology and was a great place for engineers. The R&D space had awesome talent focused on good science. The leaders were good as well.,ConsThe companies financials were not good. The operating model in India has not been working well. Some of the vehicles in India are not up to the mark| Post bankruptcy the company never seem to have recovered fully.,0,,
4/4/2014,Lots to learn - ocean of knowledge. High focus on ethics and values.,3,Current Employee - Manager,Pros- Ethics & Values- Opportunities for job rotation- Technical knowledge availability- Decent work culture| interaction with the globe- Decent pay,Cons- Too many people from a certain state (and they recruit more from that state!)- Senior management very rigid in their thoughts- Politics as you grow higher,0,,
7/2/2014,Engineer,3,Former Employee - Systems Engineer,ProsGood company| good working culture| excellent opportunity to learn automotive domain knowledge,Consslow progress of work| slow growth| some politics at high level. lackluster sell make it tough to survive day by day| not much onsite opportunity,0,,
26/10/2013,Researcher at General Motors India Science Lab,4,Former Employee - Researcher,ProsVery good work culture. People were technically brilliant,ConsFound that some teams lack direction,0,,
23/10/2013,Very good working environment,4,Current Employee - Engineer,ProsWorking Environment and the work-life balance.,ConsCompensation and benefits comparatively less.,0,,
13/10/2013,Working culture is good,4,Current Employee - Senior Engineer,ProsGood work life balance & good career exposure,ConsEnjoying working here with global peoples.,0,,
20/10/2013,Cozy work| Moderate Salary| Super Slow career growth| boring work environment,3,Current Employee - Senior Engineer,ProsCozy work| less peer pressure| easy leaves,ConsVery slow career growth| moderate appraisals| boring life style,-1,,
6/9/2013,quite a lot of learning,4,Former Employee - Finance Executive,Prosexposure is available in terms of financing,Consdistance to be travelled is too much,0,,
17/6/2013,Currently working as Alias Modeler,3,Current Employee - Alias Modeler,ProsExposure to Global Design Studios and CulturesExperience on Global Projects,ConsRate of my personal growth is not upto my expectations,0,,
25/4/2013,Excellent company and people to work with,5,Current Employee - Manager,ProsProcess Based company with a focus to change things,ConsHave to follow the hirearchy,0,,
1/4/2013,Fabulous company to work with,5,Former Employee - Divisional Manager,ProsBest environment and friendly people.,ConsOne needs to get in GM right from college and stick with it to maximize the benefits of staying with the company. For lateral entries its time taking to grow.,0,,
15/3/2013,Good Leadership Opportunities at work and strong / energetic role offered,4,Current Employee - Manager - WFG (Worldwide Facility Group) Plant Maintenance,ProsStability in long run| all round development,Conswww wwwwwww wwwww wwwww ww,0,,
21/3/2013,Great company with diversed people and culture,3,Current Employee - Senior Engineer,ProsGood company to work. Great learning,ConsCan do well| if working on result oriented solutions,0,,
6/2/2013,Very good| aggressive culture,4,Former Employee - Zonal Manager,ProsBiggest automaker in the world| american style of working,ConsPush strategy for sales| should understand consumer requirement more closely,0,,
27/12/2012,A nice place to work with a lot of challenges,3,Current Employee - AREA SALES MANAGER,Prosworking environment is conducive for implementing new ideas,ConsPolicy decisions take timeinternal working within departments,0,,
19/8/2012,Salary,4,Current Employee - Brand Manager,ProsGood - 10.52 lacs......Interesting portfolio to market,ConsLack of participative environment from leadership,0,,
3/8/2012,Thoroughbred,5,Current Employee - Manufacturing Engineer,ProsWant to learn & know how beast manufactures.,ConsNeed to spent more time for that.,-1,,
11/8/2012,it is good and supporting.,3,Current Employee - Marketing Manager,Proslike the company atmosphere and corporate facie,Conslow salary n more workload,0,,
6/8/2012,Engineering Program Manager,3,Former Employee - Engineering Program Manager,ProsLots of information has been gathered.,ConsToo bureaucratic. Information gathered not put to full use.,0,,
5/7/2012,It was a wonderful educational journey,4,Former Employee - Power Train Controls Engineer,ProsIt was a great atmosphere to work with some very enthusiastic and innovative people |mind you this was in my department |and this was powertrain controls|one of my colleague had abt 8 patents(there was a very vibrant patent filing team activity which was happening when i was working) !All the resources in terms of books| articles| latest technology are open to you through internal GM website |which are otherwise are very closed in other companies on a comparative basis .Depends on ur project|lead and manager|fortunately everything was just about right for me i felt| it was very less work pressure !Very good on-site opportunities (again depends on lot of factors) . this is specific to my team .,ConsLot of work gets delayed coz work comes from US and due to remote accessing there is a lot of dependence on the US counterparts if ur project is US based .,0,,
11/7/2012,Great Place to do what you always wanted to| grow and progress| but with a downfall of very poor leadership and vision,3,Former Employee - Research,ProsExcellent place with lots of work freedom| Great place to learn things| and a place where you can own your work.,ConsPoor leadership| Poor vision| and Bad decisions,0,,
11/6/2012,Review GM,5,Current Employee - Middle Management,ProsOpen and transparent HR policies| Good work culture| Great place to work,Consbusiness enviroment not very positive for automobile sector. too many bosses to report to,0,,
5/6/2012,Fantastic company to work if not for politics,4,Former Employee - Senior Engineer,ProsVery good work environment| good work| lot of things to learn.Good place to work if you are relatively new to the industry.,ConsHigh preference to higher level employees even if he is relatively new to the system.That actually disturbs the freedom of the employee.,-2,,
5/6/2012,Hi Tech firm with commendable policies,4,Current Employee - Senior Engineer,ProsAn open company that encourages people to have full access to all the hi tech resources.A good destination for mechanical| mechatronics| controls and software Engineer.Cool atmosphere.Time flexibility.,ConsManagement needs to be more organized.Performance based bonus should be introduced.,0,,
11/6/2012,Good in USA| bad in India...,3,Current Employee - Engineer,ProsMNC| good recognition world wide,ConsManagers| local management| type of work,-1,,
10/6/2012,Dynamics of working at General Motors India,3,Current Employee - Assistant Manager,ProsThe systems used for day to day working at GMI are wonderful. They are streamlined| easy to adapt to| and help you develop your skill sets. The co-workers here are generally helpful and welcome new comers at all stages of work| which makes it easy to get along with them,ConsFollow up of projects that hit roadblocks need improvement. It would be better to stick to strategies and goals that are initially defined.,0,,
4/6/2012,Sr. Divisional Manager - Marketing,3,Former Employee - Anonymous Employee,ProsProcess driven| have new technology and a great design philosophy. Tech center in Korea and Bangalore have talented designers. Products are extremely competitive and countries are given free hand to work on localised marketing campaigns / positioning.,"ConsVery Top driven | always trying to do ""tried and tested"" safe stuff. Risk averse and work on short term goals rather than looking at the bigger picture. Multi level reporting structure.",0,,
13/5/2012,pressure=work=burden=experience,5,Current Employee - Manager,Prosgood job profilegood salary packagehelpful staffits a best company to work,ConsWork here than know the knowledge whats thee status when you are working in this kind of company,0,,
6/5/2012,Very comfortable & relaxed place to work,5,Current Employee - Lead Engineer,Pros1- Friendly Management2- Global work environment with cross cultural team3- Open to work in case interested for stretch assignement4- Micro level work,Cons1- Slow growth in manetory term2- Limitations to explore macro level in versatile field,0,,
7/2/2012,Not good,3,Former Employee - Manager,ProsGM is company with good brand Name. Has good Technology and products. coming up with new product range very fast.,ConsLack of clearity of roles and responsibility. lot of inter departmental polotics| favourisum to few employees who are close to boss.,0,,
16/12/2011,Great industrial research environment,4,Current Employee - Researcher,ProsIt is a global automotive manufacturer which provides great exposure to different technical and business requirements for different regions along with in-depth knowledge of the technical aspects.,ConsBecause of size of the company| knowledge sharing and acceptance of new technology into the mainstream is relatively slow paced.,0,,
5/12/2011,It has been valuable learning experience,3,Current Employee - Anonymous Employee,ProsCoworkers are a very knowledgeable lot and hence present great options for collaboration and quality of advanced technical work. Research managers have the patience to wait for new things to be tried and implemented.,ConsDecision making is slow and tedious; compensation is not great compared to what may be available elsewhere in the industry.,0,,
5/9/2011,a huge concern,4,Current Employee - Graduate Engineer Trainee,Proslow work load and good safety,Conslow salary and no benefits.,0,,
7/7/2011,Mediocre management| no strategy. What career?,1,Former Employee - Group Leader,Pros1. Good place for starting and for mediocre people2. Do not mess up with something that is working and you have a career.3. Tear down| bench-marking facility in Bangalore4.,Cons1. Great ptoducts ruined by medicore management who do not understand A of Auto.2. Regionalism to the core. You need to be associated to some kind of regional identity to go ahead.3. Bootlegging pays.4. non-existent HR.5. Shift system.6. Too much focus on the cost cutting.7. Mid mgmt is scared of the US/European mgmt.,-1,,
7/4/2011,it was some what ok,3,Former Employee - Senior Lead Engineer,Proslot of free time for familyenjoyed working here,Conswhen you require one engineer they will provide 3no proper focused work culturemore poloticis in work cultureburocracy level of working,0,,
25/12/2010,Exciting work| but has to be manufactured,5,Current Employee - Anonymous Employee,ProsAvenues for leading work even at lower levels. Loads of opportunities available.,ConsWork needs to be generated at times. Need to push people around.,0,,
15/11/2010,Salaries and Work culture,4,Former Employee - Test Automation Engineer,ProsExcellent work culture.Flexible work hours. You enjoy your work .You have time for family .So great work - life balance,ConsLower salary structure in comparison to great companies.,0,,
21/11/2010,Compensation needs to be best in the industry,3,Current Employee - Anonymous Employee,ProsKnowledge sharing|learning possibilities a lot,Consless compensation ordinary growth possible here,0,,
28/2/2010,A Great Place to work with good career improvement opportunities.,4,Former Employee - Senior Supplier Quality Engineer,ProsThe place has an open door policy and information is made available to all parties involved for informed decision making on all matters of importance.,ConsIt still has a slow governmental approach to policy and making executive changes. You need to spend sometime here to get used to the pace of working and the culture| especially if you are from other comparitively fast paced industries.,0,,
21/10/2009,Not good| but not bad too,3,Former Employee - Technical Lead - ECS,Pros+ Projects are as challenging as you would find anywhere in the automotive domain.+ Appraisals are done in a fair manner.,Cons- At present a great deal of internal re-structuring is happening- The HR| Admin and Finance departments are not professional,0,,
15/7/2017,Good place to work,4,Former Employee - Anonymous Employee,ProsGreator exposure in the working domain . Good place to enhance u r knowledge.,ConsNothing in particular| few are there which are common in any organisation.,0,,
25/5/2017,Worked for 2 Years,3,Former Employee - Anonymous Employee,ProsWork-life balance is goodgood team and management,ConsI haven't faced any major issues,0,,
3/5/2017,Very good place to work,5,Current Employee - Anonymous Employee,Prosseniors are very good | and help slot to learn new tech.,ConsNo cons at allFood is not that great,0,,
4/5/2017,World class & professional culture,3,Current Employee - Anonymous Employee,Pros1. Culture is good| mixed of Indian and world.2. Good place to acquire in-depth product knowledge and skills3. One can even acquire communication skill here,Cons1. Your growth in the organization is highly controlled by the manager2. Lack of the interaction with the HR3. Too many rights to the manager4. Infrastructure and facilities are not upto the level,0,,
17/4/2017,great company to work with,5,Former Employee - Anonymous Employee,Prosgreat work culturelearning opportunitiesbrand name,Conswork life balanceeasy accessibilityworker strikes,0,,
8/2/2017,A good place to work,4,Current Employee - Anonymous Employee,ProsGreat Work Place.No Work pressurePromotes good work life balanceEmployee Safety is top priority,ConsToo much complex org structure sometimes make the promotions difficult,0,,
2/2/2017,Good,4,Former Employee - Anonymous Employee,ProsGood Company to work with & settle,ConsShift working| & night shifts too...,0,,
11/1/2017,Good Company,4,Current Employee - Anonymous Employee,ProsGood Company to work with,ConsNo clear vision for future,0,,
1/1/2017,GMTCI Work Culture,3,Current Employee - Anonymous Employee,ProsTop class employees with great technical knowledgeVery good work-life balance,ConsMicromanaging Managers and Take Home Salary,0,,
24/8/2016,Very good company to start your career,4,Current Employee - Anonymous Employee,ProsEverything is organized and professional,ConsIt takes too much time to grow. Career growth is comparatively limited.,0,,
13/8/2016,Nice place to work,4,Current Employee - Anonymous Employee,ProsFlexible working hour. Very good environment.,ConsNothing I can think of,0,,
22/5/2016,Wonderful company for work and to gainvast knowledge,4,Current Employee - Anonymous Employee,ProsGood systems are available to gain knowledge.,ConsTalent shortage in every department.,0,,
13/3/2016,good,3,Current Employee - Anonymous Employee,Proswork life balancegood quality overall,Consthey do not have a clear vision,0,,
14/1/2016,Amazing Company to build your career,5,Current Employee - Anonymous Employee,ProsApart from being a global MNC and World's one of the best Automobile company. It has a wonderful culture as well. Office interiors are awesome and makes you feel vibrant. If you are clear with what you want from your career GM has everything to support you. Job Rotations| Stretch Projects| Career guidance| training workshops and what not. Leaders are very approachable be it a Department head| HR Head or MD if you want to talk to them| you can just walk into their cabin and talk. Transparency is something that I just love about GM. If you notice something going wrong and you don't know whom to approach then there is something called aware-line| And there is a robust system that takes care that if you right some action is taken. Learning opportunities are tremendous - since| it is a developing company in India therefore| there are lot of scope to value add the business and processes.,ConsToo many processes and at times very cumbersome. Though I know| they are created this way to avoid loop holes and keep the transparency intact in the system but at times it just bug you off.,-2,,
9/12/2015,normal review,2,Current Employee - Anonymous Employee,Prosgood company for bachelors,Conssalary packages not that high,0,,
19/9/2015,General Motors - Manufacturing engineer,4,Former Employee - Anonymous Employee,ProsOwnership| Process oriented work and Daily challenges. Interesting non-monotonous work,ConsIntial Training. A lot of self-learning is required,0,,
