NEWS Headlines,Publish Time
Nissan Motor updates share repurchase status ,01-Apr-16
Nissan Motor to retire treasury shares ,25-Mar-16
"Nissan Motor Co Ltd recalls 47,538 Leaf vehicles for brake relay problem 7201.T - ASSOPR ",12-Mar-16
Nissan Motor Co Ltd - Suzuki recalls 1.6 mln cars in Japan over air conditioning part - Reuters ,02-Mar-16
Nissan Motor to repurchase shares ,26-Feb-16
"Nissan Motor Co Ltd recalling 846,000 Altimas to fix a latch problem - CNBC - Reuters ",29-Jan-16
"Nissan Motor Co Ltd - ussian dealer Nissan recalls more than 1,000 Teana sedans due to risk of fuel leakage - ITARTA ",22-Dec-15
Nissan Motor raises year-end dividend forecast for FY 2016 ,22-Dec-15
"Nissan Motor R&I affirms Mitsubishi Estate Co Ltd's rating at ""A+"" and announces stable outlook ",22-Dec-15
Nissan Motor to issue mid-year dividend and revises year-end dividend forecast for FY 2016 ,02-Nov-15
Nissan Motor raises consolidated full-year outlook for FY 2016 ,02-Nov-15
Nissan Motor Co Ltd to check Takata airbags again after passenger injured - Reuters ,01-Nov-15
"Nissan Motor Co Ltd recalling 319,000 Nissan Versa cars in North America -the Detroit News - Reuters ",02-Oct-15
China's state planner fines Nissan Motor Co Ltd's Dongfeng Nissan 123 mln yuan for monopoly behaviour - Reuters ,09-Sep-15
"Nissan Motor Co Ltd recalling about 300,000 of Versa, Versa Note vehicles to adjust console panel - AP - Reuters ",04-Sep-15
Ten automakers are sued over keyless ignitions defendants include Nissan Motor Co Ltd - Reuters ,26-Aug-15
Mitsubishi Nichiyu Forklift and Mitsubishi Heavy Industries to acquire UniCarriers Holdings from Hitachi Construction Machinery and Nissan Motor ,31-Jul-15
"Nissan Motor Co Ltd recalls 270,000 vehicles worldwide, start buttons can stick and suddenly shut down engines - AP ",15-Jul-15
Nissan Motor Co Ltd says car with Takata air bag deploys abnormally in Japan - Reuters ,08-Jul-15
"AMWU angry over Nissan Motor Co Ltd's Nissan Australia decision to close parts warehouses across Australia, 58 jobs lost - ABC Premium News ",06-Jul-15
"Nissan Motor Co Ltd's Nissan India Recall for 12,000 Cars in India - NDTV Auto ",29-Jun-15
Nissan Motor Co Ltd expand air bag recalls after latest U.S. action - Reuters ,25-Jun-15
"US investigating Nissan Motor Co Ltd Versa after reports that suspension spring can fracture, pierce tires - AP ",19-May-15
"Toyota Motor Corp, Nissan Motor Co Ltd and Honda Motor Co Ltd to expand Takata air bag recalls by millions - Reuters ",13-May-15
Nissan Motor Co Ltd to expand U.S. regional recall for Takata air bags - Reuters ,17-Apr-15
Daimler AG and Renault-Nissan Motor Co Ltd's Alliance will expand their five-year strategic cooperation into the pickup truck segment ,07-Apr-15
Government investigating Nissan Motor Co Ltd's Versa for carpeting that can catch on the driver.s foot - AP ,06-Apr-15
U.S. safety regulators probing two Nissan Motor co Ltd air bag sensor recalls - Reuters ,22-Mar-15
"Nissan Motor Co Ltd expands North America hood latch recall to 878,000 Altima sedans - Reuters ",06-Mar-15
Nissan Motor Co Ltd partners with Georgia Power ,05-Mar-15
Nissan Motor issues consolidated full-year outlook for FY 2015 in line with Thomson Reuters I/B/E/S Estimates ,09-Feb-15
Nissan Motor Co Ltd rejects U.S. government offer to mediate Mississippi UAW row - Reuters ,02-Feb-15
"Nissan Motor Co Ltd recalls 768,000 crossovers and SUVs for separate problems - Reuters ",28-Jan-15
"R&I affirms Nissan Motor's rating at ""A+"" and announces stable outlook ",28-Jan-15
"Renault SA, Nissan Motor Co Ltd and Avtovaz OAO to create new purchasing organization in Russia ",15-Dec-14
Nissan Motor Co Ltd to issue mid-year dividend for FY 2015 ,04-Nov-14
Nissan Motor Co Ltd amends year-end dividend forecast for FY 2015 ,04-Nov-14
"Nissan Motor Co Ltd to recall 9,000 units of Micra, Sunny models in India-Business Standard ",25-Oct-14
Nissan Motor and Dongfeng Motor Group joint venture sets up new units to sell Infiniti cars in China- Dow Jones ,21-Jul-14
Nissan Motor Co Ltd chooses Mitsubishi Motors Corp over Maruti Suzuki India Ltd-Business Standard ,28-Jan-14
UNIPRES says Nissan Motor cut voting right ,24-Jan-14
"R&I affirms rating on Nissan Motor Co Ltd at ""A+"" and rating outlook stable ",11-Nov-13
Renault SA and Nissan Motor Co Ltd to create joint structure for production and development-Nikkei ,05-Nov-13
"Nissan Motor Co Ltd Establishes Indonesia-based Subsidiary- NNA Japan Co., Ltd.",01-Nov-13
Mitsubishi Motors Corp to Enter Global Product and Technology Cooperation with Renault SA and Nissan Motor Co Ltd ,18-Oct-13
Nissan Motor Co Ltd to Pay Mid-term Dividend for FY 2014 and Amends Year-end Dividend Forecast for FY 2014 ,03-Oct-13
Maruti Suzuki India Ltd Stops Producing Cars For Nissan Motor Co Ltd- Business Standard ,13-Sep-13
Nissan Motor Co Ltd Signs Multi-Year Agreement With Omnicom Group Inc ,07-Aug-13
"Nissan Motor Co Ltd to Recall Over 120,000 Minivans in Japan-Jiji Press ",29-Jul-13
"Toyota Motor Corp, Nissan Motor Co Ltd, Honda Motor Co Ltd and Mitsubishi Motors Corp Agree to Joint Development of Charging Infrastructure- ENP Newswire Tan Chong Motor Holdings Bhd's ETCM (MM) Pte Ltd Enters Into Distribution Agreement With Nissan Motor Co., Ltd ",16-Jul-13
SOHGO SECURITY SERVICES CO LTD to Fully Acquire New Company Established by Subsidiary of Nissan Motor Co Ltd ,11-Jul-13
Renault SA and Nissan Motor Co Ltd To Invest $2.5 Billion In India-Reuters ,11-Jun-13
Nissan Motor Co Ltd to Build New Indian Commercial-Vehicle Plant with Ashok Leyland Ltd- Nikkei ,23-May-13
Nissan Motor Co Ltd To Launch Premier SUV Terrano This Year-Business Standard ,20-May-13
"Nissan Motor Co Ltd To Recall 841,000 Vehicles Due To Steering Wheel Glitch-Reuters ",10-May-13
"Nissan Motor Co Ltd, Mitsubishi Motors Corp Jointly Manufacturing Minicar-DJ ",29-Apr-13
Nissan Motor Co Ltd Issues Fiscal 2013 Guidance Above Analysts' Estimates-Business Line ,18-Apr-13
Nissan Motor Co Ltd Recalls Altimas In US For Spare Tire Issue-Reuters ,11-Apr-13
Nissan Motor Co Ltd Determines on Conditions of Bond Issuance-Reuters ,13-Mar-13
"Nissan Motor Co Ltd, Three Other Japan Carmakers To Recall 3.4 Million Vehicles Over Airbag-Reuters ",25-Feb-13
Nissan Motor Co Ltd Recalls Five 2013 Models On Air Bags Concerns-Reuters ,28-Jan-13
"Renault SA-Nissan Motor Co., Ltd's JV To Set Up KPO Unit In Chennai-The Economic Times ",27-Jan-13
"Daimler AG, Ford Motor Co And Nissan Motor Co., Ltd. Announces Strategic Cooperation To Accelerate Commercialization Of Fuel Cell Electric Vehicle Technology ",25-Jan-13
"Dongfeng Motor Group Co Ltd Enters Into Framework Agreement With Nissan Motor Co., Ltd., Nissan (China) Investment Co., Ltd. And Dongfeng Motor Co. Ltd ",25-Jan-13
R&I Upgrades Rating on Nissan Motor Co Ltd to .A+.; Rating Outlook Stable ,06-Dec-12
Japan Wants Nissan Motor Co Ltd-NEC Corp JV To Buy Sony Corp's Battery Operations-Reuters ,06-Nov-12
Renault SA's and Nissan Motor Co. Ltd's Renault-Nissan and Russian Technologies State Corporation Create Joint Venture to Finalize Strategic Partnership With Avtovaz OAO ,22-Oct-12
"Renault SA's and Nissan Motor Co. Ltd's Renault-Nissan To Sign Agreement on Purchase of Avtovaz OAO's Controlling Stake On December 12, 2012-RIA Vesti ",22-Oct-12
"Nissan Motor Co Ltd Calls For Recall Of 500,000 March Cars-Reuters ",15-Oct-12
Nissan Motor Co Ltd Announces Mid-term Dividend Payment and Raises Year-end Dividend Forecast for FY 2013 ,13-Oct-12
Nissan Motor Co Ltd Recalls New Altima In Us On Loose Steering Bolts-Reuters ,28-Sep-12
Nissan Motor Co Ltd Plans To Sell Cheaper Leaf-Reuters ,26-Sep-12
"Renault SA Nissan Motor Co., Ltd. To Lift Savings, Revamp Alliance-Reuters ",22-Aug-12
"Japan Fund And Firms Including Nissan Motor Co., Ltd. Aim To Acquire Renesas Electronics Corp For $2.6 Billion-Reuters ",17-Jul-12
Renault SA's and Nissan Motor Co Ltd's Renault-Nissan Receives Permission From FAS To Purchase Controlling Stake In Avtovaz OAO-AK&M ,05-Jul-12
Renault SA and Nissan Motor Co Ltd's Renault-Nissan and Daimler AG Expand Scope of Collaboration ,04-Jul-12
Fortum Oyj and Nissan Motor Co Ltd's Nissan Nordic Europe Sign Cooperation Agreement to Install Quick Chargers in Nordic Countries ,20-Jun-12
Nissan Motor Co Ltd Recalls 2013 Infiniti JX35 For Faulty Fuel Gauge-Reuters ,03-May-12
"Nissan Motor Co Ltd Recalling 11,000 Jukes To Fix Rear Seats-AP ",20-Apr-12
"Renault-Nissan Alliance to Provide 15,000 Vehicles in Exclusive International Contract With Danone ",13-Apr-12
Nissan Motor Co Ltd's Subsidiary In Talks With Hover Automotive To Buy Stake-Economic Times ,05-Apr-12
Nissan Motor Co Ltd To Cut Domestic Capacity-Reuters ,06-Mar-12
Renault-Nissan Alliance and Russian Technologies Agree to Create Joint Venture to Acquire a Majority Stake in AVTOVAZ OAO ,23-Jan-12
"Hitachi Construction Machinery Co., Ltd. Announces Integration of Forklift Business with Innovation Network Corporation of Japan and Nissan Motor Co., Ltd. ",18-Jan-12
"Nissan Motor Co., Ltd. To Expand Output In China-DJ ",16-Dec-11
"Fortum Oyj to Cooperate with Nissan Motor Co., Ltd. in Domestic Charging Services for Electric Cars in Estonia ",12-Dec-11
"Nissan Motor Co.,Ltd. to Build Hatchback Compact Car in United Kingdom-Agence France Presse ",08-Dec-11
"R&I Affirms Rating on Nissan Motor Co., Ltd. at ""A""; Changes Rating Outlook to Stable ",29-Nov-11
"ABB Ltd Partners with Nissan Motor Co., Ltd.'s Subsidiary, Sumitomo Corporation of America and 4R Energy to Evaluate Reuse of Nissan LEAF Battery for Commercial Purposes ",29-Nov-11
"Nissan Motor Co., Ltd. to Fully Acquire Aichi Machine Industry Co., Ltd. through Stock Swap ",24-Nov-11
"Microsoft Corp. and Nissan Motor Co., Ltd. Establish Strategic Relationship for Dealer Management System ",28-Sep-11
"Ashok Leyland Limited And Nissan Motor Co., Ltd.'s JV Nissan Ashok Leyland Eyes Passenger Segment Foray In One-Two Years-NDTV-Profit ",22-Sep-11
"Hitachi Construction Machinery Co., Ltd., Nissan Motor Co., Ltd. To Merge Forklift Businesses-DJ ",21-Sep-11
"Nissan Motor Co., Ltd. and to Sell Subsidiary to Joint Venture ",14-Jul-11
"Nissan Motor Co., Ltd. To Recall 56,000 Sport Utility Vehicles-DJ ",13-Jul-11
"Ashok Leyland Limited And Nissan Motor Co., Ltd. JV Aims To Sell 55,000 Light Trucks In 12 Months-DJ ",10-Jul-11
"Mitsubishi Motors Corporation and Nissan Motor Co., Ltd. Expands Alliance on Original Equipment Manufacture Business ",01-Jul-11
"Nissan Motor Co., Ltd. Stops Two Domestic Plants Due To Typhoon-DJ ",23-Jun-11
"Bajaj Auto Limited. Shelves Plan To Make Minicar for Renault SA, Nissan Motor Co., Ltd.-WSJ ",16-Jun-11
"Mitsubishi Motors Corporation Agree With Nissan Motor Co., Ltd. To Produce Pickup Trucks In Thailand-DJ ",15-Jun-11
"Daimler AG Says No Plan To Share Two Seater Model In Alliance With Renault SA And Nissan Motor Co., Ltd.-DJ ",26-May-11
Valeo SA Announces Closing of Niles Acquisition from RHJ International SA and Nissan Motor Co Ltd ,20-May-11
"Renault SA Eyes 35% Stake In Avtovaz OAO, Nissan Motor Co., Ltd. To Own 15% Stake-Reuters ",03-May-11
"Nissan Motor Co., Ltd. Announces Consolidated Full-year Outlook for FY 2012; Announces Mid-year and Year-end Dividend Forecast for FY 2012 ",25-Apr-11
"Nissan Motor Co., Ltd. To Expand In Emerging Countries-Reuters ",25-Apr-11
"Nissan Motor Co., Ltd. And Renault SA To Take Control Of Avtovaz OAO-DJ ",22-Apr-11
"Nissan Motor Co., Ltd. Says To Recall 270,000 Serena Minivans In Japan, Hong Kong-Reuters ",20-Apr-11
"Mitsubishi Motors Corporation Signs Agreement on Establishment of Joint Venture with Nissan Motor Co., Ltd.",19-Apr-11
"Nissan Motor Co., Ltd. Wins Ten Year Pact To Build NY City's Newest Taxis-DJ ",30-Mar-11
"Nissan Motor Co., Ltd. To Halt Operations At Tochigi, Iwaki Plants Until March 18-Reuters ",29-Mar-11
Proton Holdings Berhad Signs Memorandum Of Understanding With Nissan Motor Co. Ltd.,14-Mar-11
"Tonichi Carlife Group Inc. to Acquire Two Sub-subsidiaries from Nissan Motor Co., Ltd.; to Transfer Subsidiary's Business to Nissan Motor Co., Ltd.'s Subsidiary ",01-Mar-11
"Nissan Motor Co., Ltd. Begins Construction Of Portuguese Battery Plant ",11-Feb-11
"Nissan Motor Co., Ltd. Raises Consolidated Full-year Outlook for FY Ending March 2011 ",09-Feb-11
"R&I Upgrades Rating on Nissan Motor Co., Ltd. from ""A-"" to ""A""; Rating Outlook Stable ",02-Feb-11
"Renault Plans To Use Nissan Motor Co., Ltd.'s Micra Platform For India Small Car-DJ",10-Jan-11
