NEWS Headlines,Publish Time
"R&I Affirms Rating on Honda Motor Co., Ltd. at ""AA""; Rating Outlook Stable ",25-Jan-13
"Honda Motor Co., Ltd. Declares Quarterly Dividend ",18-Jan-13
"Honda Motor Co., Ltd. Issues Full-year Consolidated Outlook for FY Ending March 31, 2012 below Analyst's Estimate ",12-Jan-13
"Honda Motor Co., Ltd. Announces Global Recall For Air-bag Problems-NDTV-Profit ",29-Oct-12
"Honda Motor Co., Ltd. Amends Consolidated Full-year Outlook for FY 2012 ",13-Oct-12
"Honda Motor Co., Ltd.'s Canada Auto Plant Back To Normal Output-Reuters ",28-Sep-12
"Honda Motor Co., Ltd. To Resume Thai Plant-Reuters ",12-Aug-12
"Honda Motor Co., Ltd. To Suspend Operations At Thai Auto Plant Until October 21-DJ ",31-Jul-12
"Honda Motor Co., Ltd. Halt Factories Due To Flooding-Reuters ",19-Jul-12
"Hagens Berman Files Class Action Lawsuit On Behalf Of Honda Motor Co., Ltd. And Toyota Motor Corporation ",13-Jun-12
"Honda Motor Co., Ltd. to Recall Cars-India Business Journal ",06-Apr-12
"Honda Motor Co., Ltd. Starts Building Third Two-Wheeler Plant In India-DJ ",31-Jan-12
"Honda Motor Co., Ltd. To Start Building Third India Two Wheeler Plant Later September Or Early October-DJ ",02-Dec-11
"Honda Motor Co., Ltd. Recalls 72,115 Cars In India For Part Replacement-Reuters ",31-Oct-11
"Honda Motor Co., Ltd. To Recall Nearly 1 Million Fit, Other Models-Reuters ",19-Oct-11
"Honda Motor Co., Ltd. Considers New Plant In Mexico To Make Fit Subcompact-DJ ",18-Oct-11
"Honda Motor Co., Ltd. Announces Quarterly Dividend ",14-Oct-11
"Honda Motor Co., Ltd. to Recall Over Bolts-The Advertiser ",11-Oct-11
"Honda Motor Co., Ltd. Receives 7,000 Orders For Fit Shuttle In Japan-Reuters ",29-Sep-11
"Honda Motor Co., Ltd. Issues Consolidated Full-year Forecast for FY 2012; Issues Q1, Q2, Q3 and Q4 Dividend Forecasts for FY 2012 ",05-Sep-11
"Honda Motor Co., Ltd. Decides To Suspend Share Buybacks After Quake-Reuters ",05-Sep-11
"Honda Motor Co., Ltd. To Nearly Double India Bike Capacity By 2013-Business Standard ",14-Jun-11
"Honda Motor Co., Ltd.'s Production Cut In India To Last Till July-Business Standard ",04-May-11
"Honda Motor Co., Ltd. Adds 833,000 Vehicles To Airbag Recall-Business Standard ",04-May-11
"Honda Motor Co., Ltd. To Cut Production Of New Civic, Other Models-AP ",02-May-11
"Hero Honda Motors Limited To Pay Honda Motor Co., Ltd. INR2.450 Billion For Licensing Till 2014-Business Standard ",29-Apr-11
"Honda Motor Co., Ltd. To Cut Vehicle Production By About Half In North India Plant-DJ ",06-Apr-11
"Honda Motor Co., Ltd. Plans To Make Electric Cars In China In 2012-Reuters ",24-Mar-11
"Honda Motor Co., Ltd. Cuts UK production Due To Parts Shortage-Reuters ",23-Mar-11
"Honda Motor Co., Ltd. To Extend Auto Assembly Output Suspension Until April 3-DJ ",14-Mar-11
"Honda Motor Co., Ltd. Completes Divestiture of Hero Honda Motors Limited ",08-Mar-11
"Honda Motor Co., Ltd. Suspends Production On Monday Due To Earthquake And Tsunami-DJ ",07-Mar-11
"Honda Motor Co., Ltd.'s To Sell Hero Honda Motors Limited's Stake At Half Market Price-WSJ ",22-Feb-11
"Toyota Motor Corporation, Honda Motor Co., Ltd. and Chrysler Recalls Vehicles in U.S.-Agence France Press ",17-Feb-11
"Honda Motor Co., Ltd. Appoints New Chairman of the Board ",17-Feb-11
"Honda Motor Co., Ltd. To Cut Board To 12 From 20; Names New CFO-Reuters ",02-Feb-11
"Honda Motor Co., Ltd. To Recall 693,497 Vehicles Worldwide Due To Faulty Engine Parts-DJ ",02-Feb-11
"R&I Affirms Rating on Honda Motor Co., Ltd. at ""AA""; Changes Rating Outlook from Negative to Stable ",01-Feb-11
"Honda Motor Co., Ltd. Lowers FY 2011 Revenue Guidance; Raises FY 2011 Earnings Guidance ",31-Jan-11
"Honda Motor Co., Ltd. to Pay Dividend; Raises Year-end Dividend Forecast for FY Ending March 2011 ",31-Jan-11
