website_name,company_name,Author_name,Article_Name,date,rating,pros,cons,review_rating,expert_remarks,remarks
www.autotrader.co.uk,Kia',Paul Bond,Kia debuts Optima plug-in hybrid in Chicago,First published: 17th February 2016,,,,,,"Kia reveals its first ever plug-in hybrid, based on the Optima saloon, at the Chicago motor show, promising a 27-mile electric range and decent performance"
www.autotrader.co.uk,Lamborghini',,Lamborghini Gallardo coupe (2003 – 2013) review,Last updated: 7th November 2014,3.8,"Jaw-dropping exterior styling,Easy to drive quickly,Good selection of models in line-up","Supercar running costs,Very limited practicality,Audi controls aren’t bespoke",,"
The Gallardo was the first Lamborghini developed under Audi ownership, which means it's bulletproof; yet it loses none of its drama.
","Read the Lamborghini Gallardo coupe (2003 - 2013) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,DS',Andy Pringle,Order books open for new DS 7 Crossback SUV,First published: 28th April 2017,,,,,,"Limited edition La Premiere model is the first version of the new car to be available, but it can only be ordered until the end of this year"
www.autotrader.co.uk,Honda',Pete Tullin,Honda Civic Type R (2017 - ) review,First published: 19th June 2017,4.1,"Stonking performance,Brilliant compromise between ride and handling,Excellent driving position","You’ll either love or hate the looks,We can’t help feeling it would be even better with 4WD,You’ll devour gallons of unleaded",,"
Don’t think for one moment that the latest Civic Type R is simply an evolution of its predecessor. Thanks to an all-new body that’s lighter, stiffer, wider, longer and lower – and tied to the road using a much more sophisticated suspension – the new car displays poise and agility, and provides levels of driver interaction, that the previous car could only dream of. It’s still crazily quick, but it’s also far more refined and far more comfortable, and the driving position is light years better than before. Together, these comprehensive changes have transformed the Type R from a brutal, no-compromise hot hatchback into a car that offers stunning performance and exhilarating handling alongside everyday usability and comfort. 
","The latest Type R still looks bonkers, but it’s no longer a one-dimensional back street hero. Instead, it’s a simply stunning 21st century hyper-hatch and a worthy rival to the Focus RS and the Volkswagen Golf R."
www.autotrader.co.uk,Jeep',Paul Bond,Jeep Renegade SUV (2014 - ) review,First published: 20th April 2015,3.4,"Spacious interior and boot,Proper off-road ability,Punchy diesel engines","Expensive compared to rivals,Bouncy, firm ride,Wind-, road- and engine noise intrusive",,"
The Renegade is a worthy addition to the congested compact SUV class. For buyers with a focus on off-road ability, space and practicality, and a fun sense of personality, it offers something different from the norm. However, high prices, refinement issues and a firm, bouncy ride make it harder to recommend to everyday family buyers.
","The Jeep Renegade is the brand's smallest SUV yet, aimed at younger buyers and small families, with serious off-road ability, and priced to rival the Skoda Yeti and Mini Countryman"
www.autotrader.co.uk,Jaguar',Paul Bond,Jaguar XE Saloon (2015 - ) review,Last updated: 24th April 2015,4.0,"Superb handling balance,Efficient diesel engines,Stylish and aerodynamic exterior","Cramped rear seats,Some interior finishes are rather dour,Diesels aren’t the quietest and manual gearshift is notchy",,"
The Jaguar XE is worthy of serious consideration for anyone searching for their next compact saloon. It scores highly for both its sleek looks and efficient diesel engines, but its biggest attraction is that it’s absolutely sensational to drive. It comes better equipped than most of its rivals, featuring all the latest safety gadgets, and is one of the only executive cars which emits just 99g/km of CO2, meaning super-low tax bills. The only downsides are some issues with practicality and rather disappointing interior quality.
","The Jaguar XE saloon is a cracking addition to the compact-executive club. Class-leading efficiency and emissions, alongside an engaging drive are the plus points, but concerns remain around practicality and interior quality"
www.autotrader.co.uk,Hyundai',Ivan Aistrop,Hyundai i20 Hatchback (2014 - ) review,Last updated: 7th April 2015,4.1,"Massive cabin for a small car,Very generous standard equipment,Decent to drive","A couple of ergonomic issues,Slightly disappointing on interior plushness,Some engines fairly weedy and unrefined",,"
The Hyundai i20 is cracking value for money, providing lots of space and standard equipment for a very competitive price. It’s also easy to drive and affordable to run and, thanks to a generous warranty, should be fairly painless to own. Granted, it has a few flaws, but it should still be near the top of any supermini buyer’s shortlist.
","The Hyundai i20 is a low-cost, high-value supermini that competes with cars like the Skoda Fabia. It comes with loads of standard kit and has really impressive interior space."
www.autotrader.co.uk,Jeep',Kyle Fortune,Jeep Wrangler 4×4 (2007 – ) expert review,Last updated: 28th October 2014,2.8,"Ridiculously capable off-road,Mechanically bombproof,Only car available as a four-door convertible","Agricultural to drive,Hard, cheap interior,Taking the roof off is a two person job",,"
The Jeep Wrangler is an off-road icon with WWII pedigree. A great 4x4, as long as you’re not overly-concerned with luxury, refinement and driving on-road.
","Read the Jeep Wrangler 4x4 (2007 - ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Jeep',,Jeep Patriot 4×4 (2007 – 2009) review,Last updated: 26th November 2014,2.9,"Comfortable,Strong value,Good off-road and on","Low-rent cabin,Could be more practical,Low on safety kit",,"
The Jeep Patriot is capable off-road and surprisingly capable on it as well. Although competitively priced and well-equipped, the Patriot doesn’t major on practicality.
","Read the Jeep Patriot 4x4 (2007 - 2009) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Jeep',,Jeep Grand Cherokee SUV (2013 - ) review,Last updated: 18th November 2014,3.1,"Decent off-road ability,Handsome looks,Spacious load bay","Interior trim still feels cheap,Poor engine refinement,Crashy, overly firm ride",,"
This Grand Cherokee is the best car Jeep has ever built. Well-built, handsome and great off-road, only vague handling lets it down.
","Read the Jeep Grand Cherokee 4x4 (2011 - 2014) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Jeep',,Jeep Compass 4×4 (2007 – ) review,Last updated: 7th November 2014,2.4,"Most fuel efficient Jeep ever,Good roadholding,Well equipped for the price","Vague steering,Noisy 2.2-litre diesel engine,Awkward styling",,"
The Jeep Compass is a compact 4x4 which is well priced and is the most fuel efficient car the company has ever built. It is comfortable, but visibility is poor.
","The Jeep Compass is a compact 4x4 which is well priced and is the most fuel efficient car the company has ever built. It is comfortable, but visibility is poor."
www.autotrader.co.uk,Jeep',Andy Pringle,Jeep Cherokee SUV (2014 - ) review,Last updated: 11th February 2015,3.1,"Individual looks,Good crash test results,High standard equipment levels","Unsettled ride and too much road noise,Unrefined engines,Weaker residual values than rivals’",,"
The Cherokee has some real attractions, with economical engines and distinctive looks, but there are several important areas – especially its ride and refinement, and to a lesser extent its quality – where it lags behind its key rivals.
","Read the Jeep Cherokee (2014- ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives"
www.autotrader.co.uk,Jaguar',Paul Bond,Jaguar XF Saloon (2015 - ) review,Last updated: 4th February 2016,4.4,"Brilliant fun to drive,Low running costs,Spacious cabin","Slow-witted infotainment system,V6 models are expensive,Limited engine choice",,"
Beautiful, dynamically engaging and efficient enough to justify to yourself and your bank manager, the XF certainly has a lot going for it. With a bigger boot and less cramped rear seats than the XE, we’d also argue that the XF is the pick of Jaguar’s pair of sleek executive saloons. Strong resale values, low insurance and generous kit all play their part in making this one of the best big execs around.
","The Jaguar XF has a tough task taking on established saloons from Audi, BMW and Mercedes, but its looks, efficient engines and sharp handling all set it apart"
www.autotrader.co.uk,Jaguar',Paul Bond,2016 Jaguar F-Type SVR Coupe first drive review,First published: 15th June 2016,,,,,,We drive the new Jaguar F-Type SVR Coupe on road and track to see if this snorting 567bhp monster can really take on the Porsche 911 Turbo and Audi R8 supercars.
www.autotrader.co.uk,Lancia',Andy Pringle,I bought one - Lancia Delta Integrale,First published: 19th June 2015,,,,,,Rupert Matheiu tells us why he loves his rally-bred Lancia Delta Integrale Evolution II
www.autotrader.co.uk,Jaguar',James Richardson,New Jaguar F-Pace first image revealed,First published: 4th September 2015,,,,,,This is the first official image of the brand-new Jaguar F-Pace SUV
www.autotrader.co.uk,Jaguar',Paul Bond,2015 Jaguar XF 2.0 180 R Sport first drive review,First published: 17th August 2015,,,,,,"The new XF is lighter, cleaner and roomier than ever before, but will that be enough to defeat the BMW 5 Series and Audi A6? Paul Bond tests it on road and track to find out."
www.autotrader.co.uk,Jaguar',Jon Quirk,Iconic XKSS re-born 60 years later by Jaguar Classic division,First published: 17th November 2016,,,,,,"A prototype XKSS, codenamed ‘car number 0’, was unveiled at the Peterson Museum in Los Angeles this week. "
www.autotrader.co.uk,Jaguar',Jon Quirk,Frankfurt Motor Show 2015: Jaguar F-Pace SUV,First published: 14th September 2015,,,,,,The first ever Jaguar SUV - the F-Pace - has been revealed just ahead of the Frankfurt Motor Show
www.autotrader.co.uk,Jaguar',Rachael Hogg,Facelifted 2017 Jaguar F-Type unveiled,First published: 11th January 2017,,,,,,"Among the revisions to the Jaguar F-Type are a new look, updated technology and an expanded range, and the facelifted car is set to arrive in early 2017."
www.autotrader.co.uk,Jaguar',Ivan Aistrop,2016 Jaguar F-Pace first drive review,First published: 2nd February 2016,,,,,,"The F-Pace is Jaguar's first ever SUV and one of the most eagerly anticipated cars of 2016. Our first experience of it comes as Road Test Editor Ivan Aistrop gets to grips with it in a disused, and soaking wet, Welsh quarry"
www.autotrader.co.uk,Jaguar',Paul Bond,2016 Jaguar F-Pace 2.0d R-Sport first drive review,First published: 8th April 2016,,,,,,"We drive the new Jaguar F-Pace on and off-road to see if the British brand’s first venture into the lucrative SUV segment is a success, testing out the popular 2.0-litre diesel."
www.autotrader.co.uk,Jaguar',Paul Bond,Jaguar F-PACE SUV (2016 - ) review,Last updated: 15th August 2016,4.0,"Superb handling,Generous equipment levels,Practical and spacious inside","Four-cylinder diesel is neither smooth or fast,Refinement could be better,V6 models are very expensive",,"
The Jaguar F-Pace can rightly claim to be one of the sportiest and best-looking SUVs on the market. It's handsome, practical, and surprisingly cheap to run when fitted with a 2.0-litre diesel engine. This might be the brand's first ever 4x4, but Jaguar has borrowed technical know-how from sister brand Land Rover and the result is a car that feels rugged off-road and comfortable - yet poised - on it. A real class contender.
","The Jaguar F-Pace is a large SUV that majors on style and sharp handling, and competes with rivals such as the BMW X4, Mercedes GLC and Audi Q5. We test it in all areas."
www.autotrader.co.uk,Jaguar',Andy Pringle,"Jaguar reveals XE SV Project 8, its most extreme road-going car ever",First published: 28th June 2017,,,,,,"With almost 600bhp from its supercharged 5.0-litre V8 engine, the latest version of Jaguar's smallest saloon has performance to rival supercars"
www.autotrader.co.uk,Jaguar',Rachael Hogg,Jaguar reveals new E-Pace small SUV,First published: 13th July 2017,,,,,,"The E-Pace will rival the likes of the BMW X1, Audi Q3, Volkswagen Tiguan, and Mercedes-Benz GLA-Class."
www.autotrader.co.uk,Jaguar',Andy Pringle,Jaguar I-Pace concept previews company’s first electric car,First published: 15th November 2016,,,,,,"We're less than two years away from being able to buy an all-electric Jaguar, and this concept is the first indication of what it will look and be like"
www.autotrader.co.uk,Jaguar',Paul Bond,Jaguar XJ Saloon (2015 - ) review,First published: 29th July 2016,3.7,"Excellent handling,Sleek design,Strong engines","Cramped rear cabin,Not as hi-tech as its German rivals,Overly firm low speed ride",,"
The Jaguar XJ is a charming alternative to the benchmark in this class, the Mercedes S-Class. It looks sleeker and drives sharper than the big Mercedes, but can't quite compete when it comes to space, luxury, and the latest technology. Still, it's definitely worth looking at if you're after a high-speed cruiser for covering long distances, and the entry-level diesel models are fantastic value.
","The Jaguar XJ is a luxury saloon aimed at rivals like the Mercedes S-Class and BMW 7 Series, but with sharper looks and a sportier drive"
www.autotrader.co.uk,Hyundai',James Richardson,Hyundai i30 Hatchback (2015 - ) review,Last updated: 6th August 2015,4.1,"Cosseting ride,Well built interior,Good safety rating","A bit dull to drive,Some interior plastics feel cheap,Turbo is no hot hatch",,"
The Hyundai i30 might not be as enjoyable to drive as some rivals, but it’s an accomplished hatch that does very little wrong - and its long warranty provides plenty of reassurance.
",Hyundai's i30 is a very creditable - and budget-priced - alternative to the likes of the Ford Focus and Vauxhall Astra
www.autotrader.co.uk,Infiniti',,Infiniti FX SUV (2009 - 2012) review,Last updated: 13th November 2014,3.8,"Rarity in the UK makes it quite exclusive,Comfortable interior,Good to drive","Its petrol engines are thirsty,Bold looks don’t suit everyone,Poor sat-nav",,"
The Infiniti FX is possibly the most obvious alternative to the Porsche Cayenne and BMW X6. They’re all big, bold 4x4s with sporting pretensions.
","Read the Infiniti FX 4x4 (2009 - 2013) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Jaguar',Rachael Hogg,"Jaguar updates 2018 F-Pace, XE and XF models",First published: 15th February 2017,,,,,,"Three new engines, new safety systems, and new tech for model year 2018 cars."
www.autotrader.co.uk,Jaguar',Andy Pringle,Jaguar shows off first teaser image of new XF Sportbrake,First published: 25th April 2017,,,,,,"Estate version of the company's executive car is due to go on sale in the summer alongside the saloon, giving Jaguar a rival for models from Audi, BMW and Mercedes"
www.autotrader.co.uk,Jaguar',Andy Pringle,Jaguar F-Type gets new four-cylinder petrol engine,First published: 12th April 2017,,,,,,"For the first time, Jag’s sportscar will be available with something other than a six- or eight-cylinder engine, making it a more affordable option."
www.autotrader.co.uk,Jaguar',Rachael Hogg,Jaguar reveals new XF Sportbrake estate,First published: 14th June 2017,,,,,,"The estate version of Jaguar's XF saloon will rival the likes of the Audi A6 Avant, BMW 5 Series Touring and Mercedes E-Class estate."
www.autotrader.co.uk,Infiniti',,Infiniti G Convertible (2009 - 2012) review,Last updated: 6th November 2014,3.6,"Attractive styling,Lots of equipment,Well built","Rattles over bumps,Cramped rear seats,Lack of boot space when the roof is folded",,"
The Infiniti G Convertible is a handsome four-seater with a folding roof. It has distinctive looks and exclusive badge, but doesn’t drive as well as the Audi A5 Cabriolet or BMW 3 Series Convertible.
","Read the Infiniti G Convertible (2009 - ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Infiniti',,Infiniti G Coupe (2009 – 2013) review,Last updated: 24th February 2015,3.8,"Great looking,Very quick,Sportscar handling","Small boot,Pricey,No diesel version",,"
While it probably won’t shake the foundations of established manufacturers yet, the Infiniti G Coupe is an impressive and accomplished car which deserves pride of place on British driveways.
","Read the Infiniti G Coupe (2009 - ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Hyundai',,Hyundai i40 Saloon (2015 - ) review,First published: 5th May 2015,3.9,"Economical engines,Slick styling inside and out,Plenty of standard kit","Not as good to drive as rivals,So-so driving position,Base engine is a bit weak",,"
Improvements inside and out bring the i40 closer to the Ford Mondeo, but it’s still not quite up there with the class best
",Subtle tweaks keep Hyundai’s family car in the running against strong competition from the Ford Mondeo and Volkswagen Passat
www.autotrader.co.uk,Infiniti',Ivan Aistrop,Infiniti Q50 saloon (2014 – ) review,Last updated: 26th November 2014,3.2,"Good practicality,Efficient diesel engine,Generous equipment","Not comfortable enough nor enjoyable enough to drive,Poor ergonomics in cabin,Not affordable enough to buy or run",,"
The Infiniti Q50 isn’t without its merits. It has lots of space, a big boot and an economical diesel engine. However, it’s compromised in too many other areas, and it’s not cheap enough to buy. We’d still steer you towards established players like the BMW 3 Series.
","Read the Infiniti Q50 saloon (2014 - ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives"
www.autotrader.co.uk,Hyundai',Ivan Aistrop,2015 Hyundai i20 1.0T-GDi Active first drive review,First published: 12th February 2016,,,,,,"The Hyundai i20 Active blends classic supermini attributes with a dash of 4x4 styling, but does it hit the mark? Road Test Editor Ivan Aistrop finds out."
www.autotrader.co.uk,Infiniti',,Infiniti EX SUV (2009 - 2012) review,Last updated: 13th November 2014,3.7,"Distinctive styling,Very well equipped,Strong performance","Thirsty petrol engine,Cramped rear seats,Small boot",,"
The Infiniti EX is a mid-sized Sports Utility Vehicle which will appeal to buyers looking for a high quality, high specification 4x4 that’s distinct from the more common Audi Q5, BMW X3 and Volvo XC60.
","Read the Inifiniti EX 4x4 (2010 - 2013) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Hyundai',,Hyundai Genesis Saloon (2014 - ) review,First published: 6th May 2015,2.8,"Loaded with kit,Lots of safety gear,Effortless cruiser","High running costs,Bland styling,Cabin doesn’t feel special enough",,"
Hyundai’s executive might have all the toys you could possibly ever need, but the Genesis isn’t good enough in other areas to worry its German rivals
",Hyundai takes on the big boys - the Audi A7 Sportback and BMW 5 Series - with its own executive saloon
www.autotrader.co.uk,Infiniti',,Infiniti Q60 Coupe (2013 - ) review,Last updated: 4th November 2014,3.8,"Great looking,Very quick,Sportscar handling","Small boot,Pricey,No diesel version",,"
While it probably won’t shake the foundations of established manufacturers yet, the Infiniti G Coupe is an impressive and accomplished car which deserves pride of place on British driveways.
","Read the Infiniti Q60 Coupe (2009 - ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Hyundai',Andy Pringle,Hyundai Tucson Premium SE 2.0 CRDi 185PS first drive review,First published: 30th June 2015,,,,,,"The Tucson is Hyundai's replacement for the popular ix35, but does it have what it takes to compete with the best in a class that's packed with high-quality cars?"
www.autotrader.co.uk,Infiniti',,Infiniti G saloon (2009 – 2013) review,Last updated: 6th November 2014,3.4,"Rarity value in the UK,Incredible standard kit,Drives well","No diesel engine available,Likes a drop of petrol,High tax band",,"
The Infinti G saloon is Japan’s answer to the Jaguar XF. It has a big engine and an even bigger list of gadgets while customers are promised VIP customer care.
","Read the Infiniti G saloon (2009 - ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Hyundai',Andy Pringle,Hyundai ix35 SUV (2013 - ) review,First published: 19th January 2016,3.2,"Zero CO2 emissions with everyday usability,Almost silent running in town,Range in excess of 350 miles","Very expensive to buy,Extremely limited hydrogen refuelling infrastructure,Basic ix35 now quite a dated design",,"
The ix35 proves that a hydrogen car is a realistic proposition for 21st-century motoring, even if it’s not without its limitations. If – and it’s a big ‘If…’ – you can live with its high price and the limited hydrogen refuelling infrastructure, it provides a decent zero-CO2 emission family car. 
","It may not look it at first glance, but the ix35 is one of the most revolutionary cars in Britain, using a hydrogen fuel cell instead of a conventional internal combustion engine"
www.autotrader.co.uk,Infiniti',,Inifiniti QX50 4×4 (2013 – ) review,Last updated: 4th November 2014,3.7,"Distinctive styling,Very well equipped,Strong performance","Thirsty petrol engine,Cramped rear seats,Small boot",,"
The QX50 is a mid-sized Sports Utility Vehicle which will appeal to buyers looking for a high-quality, high-specification 4x4 that’s distinct from the more common Audi Q5, BMW X3 and Volvo XC60.
","Read the Inifiniti QX50 4x4 (2013 - ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Infiniti',,Infiniti FX SUV (2009 - 2012) review,Last updated: 5th November 2014,3.1,"Generous standard equipment,Attention grabbing styling,Entertaining to drive","Poor boot space,Firm ride,Thirsty range of engines",,"
Big and bold, the Infiniti FX is a distinctly left-field addition to the performance 4x4 market. You’ve got to be completely sold on the looks, though, because it can’t compete with the BMW X6 and Porsche Cayenne on the road.
","Read the Infiniti FX 4x4 (2009 - 2013) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Hyundai',Andy Pringle,Hyundai i30 Estate (2015 - ) review,First published: 30th June 2016,3.8,"Spacious and practical,Well built interior,Decent standard equipment levels","A bit dull to drive,Some interior plastics feel cheap,Thick C-pillars restrict rear visibility",,"
The Hyundai i30 Tourer might not be as enjoyable to drive as some rivals, but it’s an accomplished and spacious estate that does very little wrong - and its long warranty provides plenty of peace of mind.
","The Hyundai i30 Tourer is a fine alternative to the likes of the Ford Focus and Vauxhall Astra, with a good-value price and excellent warranty"
www.autotrader.co.uk,Infiniti',,Infiniti Q60 Convertible (2013 – ) review,Last updated: 4th November 2014,3.6,"Attractive styling,Lots of equipment,Well built","Rattles over bumps,Cramped rear seats,Lack of boot space when the roof is folded",,"
The Infiniti Q60 Convertible is a handsome four-seater with a folding roof. It has distinctive looks and exclusive badge, but doesn’t drive as well as the Audi A5 Cabriolet or BMW 3 Series Convertible.
","Read the Infiniti Q60 Convertible (2013 - ) car review by Auto Trader's motoring experts, covering price, specification, running costs, practicality, safety and how it drives."
www.autotrader.co.uk,Infiniti',Ivan Aistrop,Infiniti Q30 1.5d Prestige first drive review,First published: 2nd November 2015,,,,,,"The Infiniti Q30 wades into the popular premium hatchback market, where there are some seriously impressive competitors. So, can it compete with the likes of Audi and BMW?"
www.autotrader.co.uk,Hyundai',Pete Tullin,2016 Hyundai Ioniq hybrid first drive review,First published: 6th July 2016,,,,,,"The Ioniq is the first car to be launched with three different electrified powertrains, but is that enough to give it the edge over the Toyota Prius, Nissan Leaf and more conventional diesel hatchbacks?"
www.autotrader.co.uk,Hyundai',Pete Tullin,2017 Hyundai i30 first drive review,First published: 18th January 2017,,,,,,"The latest i30 is designed to take on the likes of the Volkswagen Golf, Vauxhall Astra and Skoda Octavia. How does it measure up next to these family hatchback masters?"
www.autotrader.co.uk,Hyundai',Andy Pringle,Hyundai unveils new look for i10,First published: 31st August 2016,,,,,,"Revised version of Korean company’s city car, with new styling and extra features, will be revealed at the Paris Show in October, before going on sale in January next year."
www.autotrader.co.uk,Hyundai',Pete Tullin,Hyundai i30 hatchback (2017 - ) review,First published: 27th January 2017,3.6,"Comfortable ride,Well-equipped,Frugal engines","Safe but uninspiring handling,Generic styling lacks identity,Some cheap interior plastics",,"
The i30 is not short of appeal, especially if you value comfort over dynamic prowess. It’s not the most engaging thing to drive, however, and it’s certainly not what you’d consider eye-candy, thanks to its styled-by-committee, Euro-box shape. That said, it’s well-equipped, spacious, attractively priced, and comes with the reassurance of a five-year/unlimited mileage, no-quibble warranty. Unfortunately, the i30 is far from a pace setter. It’s nowhere close to the last word in quality or driving pleasure, and we could probably think of at least half a dozen rivals that do almost everything the i30 does, and a whole lot more besides.
",The i30 is Hyundai’s challenger to some of the best family cars on the planet. It’ll need to be seriously good to match the likes of the Volkswagen Golf and Vauxhall Astra.
