year,date,qtr,Vader Sentiment,Normal rating,review
2007,15-03-2008,,0.1154,4.875, I just bought my truck a few days ago. I got the vortec max SLT. I was worried about such a big engine and fuel economy (6.0 liter) but when under moderate excelleration or on the highway it only uses 4 cylinders giving it better mileage than my mini-van that I traded in on it. It is very comfortable and the fit and finish of the leather and brushed aluminum trim competes with a Mercedes or BMW. The new design is way ahead of anything else I have seen on the road when people see it they can't help but notice it's size and intmidating looks. Yes I also got it because I have neer owned anything but a GM automobile but after driving it around I know I made the right choice.
2007,17-10-2008,,0.4201,5, Good looks abound with chrome wheels ground effects package and special fade paint exterior with standard roof to enable city garage parking. Easy pop-out center captain seats and electric rear seat converts to queen bed. In this position with appropriate protection on leather upholstery it's a real work horse to haul 4 X 8 materials ladders etc. Excellent towing ability.  Best of all a real comfortable 7 person touring vehicle with ample luggage storage and 22 mpg.
2007,24-08-2010,,0.9294,4.5,The dealership had a limited selection of extended cabs.  Maybe a crew cab with a longer bed would have been nice but they only come with the 5.5' bed for now so I got the extended cab with the 6.5' bed.  
2007,16-03-2011,,-0.1419,4.25,Doors don't sound solid like a Toyota  when they close small detail but still if GM is going to compete must think of things like this. Would be nice to have wood trim as an option and NAV as an option on mid-priced model.  
2007,23-08-2011,,0.6249,2.5,Engine and fuel economy.
2007,28-06-2012,,-0.1779,2.25, My wife and I are expecting our first child and we looked at every SUV CUV possible to find one that was reliable and safe for our new addition. As soon as we saw it on the lot we were in love. Chrome accents against the black and white background made for a shapr looking vehicle. The ride is great and smooth.  Engine is plenty powerful. Interior is nicely refined and very quiet. Rear legroom is unrivaled by any other vehicle. Rear sliding seat gives an extra 4 inches if needed for back seat passenger. Not badly priced either.
2007,29-08-2012,,0.9081,2.25,Doesn't look like a minivan but has identical functionality and then some aside from slightly less space behind the third row -- but not by much they have put a lot of space behind the third row in this crossover. 
2007,25-03-2013,,0.93,4.75,Everything about this vehicle is great.
2007,17-09-2013,,-0.4213,2.75,leather seats towing capacity roomy
2007,30-12-2013,,0.8065,2.375,I would have liked chrome wheels as an option. They will probably be available on the Denali version when it coes out.
2007,23-05-2015,,-0.6249,4.125,After owning a Yukon Delani I was looking forward to buying another GMC.
2007,27-12-2015,,0.0665,2, This car is by far the worst vehicle we've ever owned.
2007,28-02-2016,,-0.5556,1, I LOVE this car it was my dream car!!... But I HATE it... Transmisson replaces at 90000 needs another at 190000... Power steering went out 2 times... Liftgate issues (hydraulics and locking mechanism)... Sunroof LEAKS... Passanger windows stopped working at 100000... Radio also stopped work8ng at 150000... In general a MONEY PIT
2007,29-03-2016,,0,5, I have a 2007 Acadia with 70000 miles on it. I am having major transmission problems. It slips all the time. Some times it will not go into gear. It is very dangerous when exiting onto a highway. In addition there is a cover that apparently does not cover the power steering fluid/belt? they did not fully explain this well. The issue is when it really rains the car does not steer. So I have ended up in a median and some other odd places. Luckily no one has been hurt... yet. I get endles repairs on this car. I see others are having the same issues. [violative content deleted]
2007,09-06-2016,,0,2,None to date.
2008,11-02-2007,,0,4.25, Very good in snow and provides smooth acceleration. The 4 speed auto is a little whiny. If you drive up a lot of hills get the 6.0 v8 because it is a tad stronger off the line. My family loves this van. I'm planning my vacation in Catskills and all wheel drive will be helpful
2008,05-01-2008,,0.9705,4.125,Standard remote start navigation rear DVD power running boards heated seats power liftgate.
2008,05-03-2008,,0,4.25, I test drove 6 vehicles before I settled for this one. This one wasn't even my 1st choice but I couldn't pass up the great deal I was getting and so far its been good. The handling is pretty good and fuel economy is what can be expected out of an AWD SUV. The vehicle comes with a lot of standard features(denali) like heated seats remote start etc. My only real problem is the 3rd row seat. Does not fold down to the ground and is made for children. Other models like the 2008 Toyota Sequoia and 2008 Lincoln Navigator can sit full grown adults back there and does fold down to the ground and other crossovers of GM do this so why not the full size SUVs.
2008,24-05-2008,,-0.8271,3.75," Great truck horrible gas mileage. I've averaged 15 mpg. This truck has plenty of power great ride quiet cabin (except for the roar of my V8 when I accelerate. leg room is great. I'm 6'5"" tall and love to sit in the back with my toddler when my wife drives. I wish I had opted for more options and the Tahoe is exactly the same truck but several hundred dollars cheaper similarly equipped at most dealerships. If you don't do long commutes and have a need for lots of room you can't go wrong with a Yukon or Tahoe. I have 40000 miles and have never had any problems."
2008,05-11-2008,,0.9038,4.625,Power!
2008,18-05-2009,,0.9061,2.875,Lot of room and easy to maneuver. Also that it is an eight cylinder compared to Dodge Sprinter
2008,03-11-2009,,0.4753,3.5, Vehicle broke down on us 5 times in less than 6 months and the dealership could not figure out the problem or lack of trying to figure out the problem.  One day someone got a bright idea to see if any another dealerships are experiencing the same problem the vehicle will start until it gets hot but don't turn it off because it won't start up again.  Anyhoo some other dealer was having that same problem and at last it was fixed.
2008,09-02-2010,,0,4.125,GMC! A body is no good without working parts!
2008,16-05-2011,,0.7698,3.5,AC problems transmission problems daylight headlamp problems NAV problems are just a few of the continuing problems with this car.
2008,20-09-2011,,0.8176,3.625,and four major repairs in a matter of two months this year could not justify keeping it and loosing another dime. It's a shame. It's like a good looking person with an ugly attitude. Who wants that?! I will never own a GMC vehicle ever again.
2008,22-09-2011,,0,3.875, - $670
2008,31-10-2011,,0,2,in 2011. Loved it. The look it's features. It fit my family of six well. I have performed all routine maintenance. But after a little less than three years of ownership and over a dozen trips to the dealership for repairs not under warranty and thousands of dollars spent
2008,15-02-2012,,-0.2942,3.875,Onstar DVD player remote start heated seats memory seats navigation system and backup camera.
2008,30-08-2012,,0.8271,3.25,Interior is the most appealing aspect of this car! 
2008,01-03-2013,,-0.91,4.625,I don't trust the car anymore to get me out of town as it has broke down twice and had to be towed.
2008,21-07-2013,,-0.6707,2.875,When you get a warning light on this car you had better be close to a GMC dealer because it will just quit in the middle of the street.
2008,29-08-2013,,0.3147,2.625, I bought my 2008 GMC Acadia with 25000 miles on it.
2008,08-01-2014,,0.3544,3.875, Purchased it used as a family car
2008,21-02-2014,,0.946,4, There are obvious defects with the 2008 Acadia.
2008,23-04-2014,,0,3.5, I'm sorry to say the 2008 Acadia will be my last GMC.
2008,18-08-2014,,-0.4019,1,The steering transmission and airbag issues need to be corrected by GMC.
2008,04-01-2015,,0,2.5,Loved the quiet ride and the space...then the bottom fell out.
2008,11-02-2015,,0,2, GM discovered that many Acadias recieved a defective wave plate during assembly.  The wave plate is a component in the transmission.  Instead of recalling the Acadia and having the part replaced GMC offered a special warranty up to 120000 miles to reimburse the cost of transmission repairs.  Of course since I actually take care of my car and drive it gently my wave plate lasted until 121500 miles.  The transmission repair cost $2700.  The problem was a defective waveplate.  GMC did not provide any assistance with the repair costs despite the fact it was barely beyond the warranty.  I'm actually somewhat thankful though.  Now I have a good excuse to buy a foreign car.  For the past 20 years I have always owned domestic vehicles...mostly GM vehicles because I have felt proud of supporting the domestic auto makers.  But with this latest issue it is apparent that GM has no interest in supporting their customers.  Now if people give me a hard time about buying foreign I can refer to this experience and people will understand.  This will be the last GM product I own.  I was going to buy a new Yukon in the Spring.  That won't be happening now.
2008,25-06-2015,,-0.0772,1,I now have 90000 miles on the car and have taken extremely good care of it.
2008,21-08-2015,,0,1,They need to honor promises of delivering good cars which they have not done here. 
2008,29-07-2016,,0,1,47000 new master cylinder
2008,15-08-2016,,0.5994,2,Water pump at 42000 miles at $564 (later paid for by GMC...amazing).
2009,31-10-2009,,-0.5584,3.5,Body design. That's it
2009,04-02-2010,,0,2.625, I've had my Acadia for almost two years come February. Two of the fuel injectors started leaking two weeks ago. The engine light came on at the same time my engine started smoking and hesitating in rush hour traffic.  OnStar ran a diagnostic and reported the findings to me. I had it towed in to the dealer they wouldn't tell me the problem until I told them that OnStar had already made it known to me. Four days later I drove my Acadia back home and fumes were coming through the air vents. I took it back to the dealer. They said the other fuel injectors had stopped working. I'm not an auto mechanic but this is bad right?
2009,20-03-2010,,-0.8316,3.5,We're a family of five and we all fit. My husband and I have three babies in car seats. I consider this a very stylish people hauler. 
2009,23-07-2010,,0.4215,1.25,I haven't had it long enough to make that decision 
2009,23-08-2010,,-0.2225,3.75, I traded my '06 Yukon for a '09 Acadia. At the time gas was $$ and I felt compelled to get a better mileage vehicle. Oops! I paid more for the Acadia than I would have for another Yukon (with the factory and dealer spiffs they were giving back then). Turns out my Yukon got BETTER mileage! The Acadia is O.K. looks good reliable etc but it is more like driving a van than an SUV. My only complaint is the acceleration hesitation in wet and cold weather which nobody can seem to fix. Other than that no problems at all in the first 20k miles. But next time around Im back to a Yukon.
2009,08-09-2010,,-0.8668,3.5,Its roomy & nice to drive 
2009,03-02-2011,,0.8689,2.375, I bought my 2009 GMC Acadia on December 27 2010. Before I made may first payment my power steering went out. Got it back had it two weeks and once again the power steering went out almost caused us to flip. It has been in the shop more than I have had it. It only has 24000 miles. This car makes me very nervous! Not for sure I even want it back this round. 
2009,01-10-2011,,0,3.125,They did some minor repairs and wanted me to bring it back in a few days for more work as they spotted a small oil leak but couldn't figure out where it was coming from.
2009,11-05-2012,,0,2.375,Roomy comfortable quiet powerful. Seven seater with plenty of room behind third row.
2009,28-05-2012,,0.6249,3.625, I purchased my Arcadia one month ago & Have only been behind the wheel for only a week - three days after purchasing it I got it home & the DVD player quit working & it had to be replaced then the check engine light came on & I had it checked & the 3rd cylinder wasn't firing then the A/C quit blowing cold- so I took it in & after a bunch of mumbo-jumbo it was fixed so all problems were fixed by the dealership but this has been a very poor car buying experience & I do not think that I will ever get a new or GMC ever again - I just don't feel comfortable or safe with my family in it taking trips & I am waiting for more problems to occour ...............
2009,17-07-2012,,0.7269,3.375, Update: Now have 60K miles on my 8 year old Acadia & the extended warranty ran out last year...  I'm getting rid of it before something else big/expensive goes wrong - which I expect to be soon!!! In 8 years it's been in the shop about a dozen times & just had to have it towed a few months ago. All sorts of annoying things inside are breaking and mechanically it's been one thing after another! And I take good care of my vehicles! Am getting a Honda Pilot or Toyota 4-Runner.
2009,16-12-2012,,0,2.875,GMC needs to recall the transmission. Also the rack and pinion. These are obvious reoccurring problems. Design a care that the engine does not have to be removed to change a timing belt for gods sake.
2009,01-08-2013,,0.1278,4.75, I have an '09 Acadiawell pleased.Had only one problem-rattle in A pillar.Dealer replaced trim-fixed.Headlight recall.No big deal.Bulletin/recall notifying possible stretching of timing chain.Took car in to reset computer for more frequent oil changes.I change more often than recommended anyway.Talked to mechaniche hadn't gotten one back in yet for repair but said engine had to come out to replace chain.Power train warranty increased by GM to 100K.Here's my problem.We don't travel much.My car is just about to turn 26K miles so by the time any major problem occurs my warranty will have run out.Is it time to sell this car which is now in excellent condition?
2009,24-08-2013,,-0.3975,2.75,design and reliability
2009,30-06-2014,,0,3.125, I purchased this vehicle with 30000 miles 2 1/2 years ago with all of my savings. I wanted a vehicle that was sturdy built well and going to last me at least 4 years. Now 2 1/2 yrs later the transmission is blown it needs a timing belt (which requires dropping the engine) rack and pinion needs replacing both rear control arms are bad and the catalytic converter is bad. This is besides the 10 other times its been into the dealer or repair shop in the 2 1/2 years for other problems. Now this vehicle is worth nothing for trade in and I have no choice but to pay over $6000 in repairs. I spent $28000 on this car for what?!?! Two years of nothing but trouble. Never again GMC
2009,07-07-2014,,0.689,3, 
2009,17-08-2015,,-0.7391,2,Great and usable interior nice taut styling decent to drive (when the transmission works) good size and layout.  
2009,14-01-2016,,0.128,2, We've had the car for about a year and a half.  Put plenty of miles on it.  It breaks every month.  Its been back to the dealer 16 times since we've had it.  Leaks trans problems failed water pump electrical problems brake problems rear hatch lifters etc.   Whenever I see someone who has put all 10s in their edmunds review I immediately discount those reviews as someone who is congratulating themselves for a purchase rather than reviewing a car.   The amount of lemon law lawsuits over the Acadia is stunning.   Too bad actually because this could have been a great car but unfortunately GM has too many problems as a company to take care of their customers.
2009,15-03-2016,,-0.1759,2, One month ago I took my 2009 GMC Acadia to the dealer because I noticed a smell and steam coming from it.
2009,22-09-2016,,0,1,Put in a v8 option or do something to fix the gas mileage and cold weather acceleration hesitation. There is no reason a vehicle this size not to get significantly better mileage that the Yukon!
2010,11-05-2010,,-0.3412,4.75, I've been driving the fully loaded 6 cyl model for almost 10000 miles and my wife and I both love it. We've gotten a lot of (favorable) comments. The ride is great the fuel economy has been just as advertised and the NAV system Bluetooth and other features are great. I've had a couple of minor issues but the dealer was able to take care of them with no problems. I'd recommend this car to anyone looking gfor a small SUV.
2010,30-06-2010,,0,4.5, The problems I've had with it have been unbelievable!
2010,07-09-2010,,0,4.75,Could have bought a Mercedes SUV for the price.
2010,11-09-2010,,0,1.875,My wife drives daily to work and in less than 3 years we already have 87000 miles.
2010,17-09-2010,,0.357,4.375," I bought this Acadia new off the dealer's lot at the end of 2010 and thought I got a great deal. It now has 70K miles. Between recalls and service bulletins it's been in the shop close to 15 times. Since December alone it's been in 5 times. First for a Service Bulletin to replace a timing chain then every two weeks since for some other trouble code or fault. GM should be ashamed to have their logo on this car. I've asked for a full refund due to the failure of the engineering not living up to the ""Professional Grade"" motto but been laughed at. I've been a GM fan for 40 years and am now selling everything GM I won because GM has failed to make this right. Never again."
2010,14-10-2010,,0,4.875,It had 56000 miles on it when purchased.
2010,13-11-2010,,0,4.5,We've never gotten better than 27 and usually we're at 24-26 mpg with the 4 cylinder on eco.
2010,04-12-2010,,-0.2942,3.75, My wife and I traded our 2000 4Runner for the 2010 Acadia. 2nd row captain's chairs for our kids as well as easy access to the 3rd row were two of the main selling points. We like everything about the vehicle other than the gas mileage (16.5 MPG overall with much highway driving) and the front seats. The curve of the seat along with the forward angle of the headrest make it impossible to sit comfortably. I've tried every adjustment possible and can't get my upper back and neck to stop hurting. Kids love it. Friends love the look. The seats are the only problem.
2010,22-01-2011,,0.3182,5,I posted my review in October  3 days after we got it back with a rebuilt engine  the motor was losing oil  bear in mind there was never an oil light  but we checked the oil every other day we took a 2 hour trip then had to drive another hour to help a friend  apparently that was just too much for the engine  in that time it had used up the oil and simply died on a random country road.  Spun a bearing.  Second motor in 6 months.  
2010,23-01-2011,,-0.6312,4.875, Our gas mileage is 18.9 MPG.
2010,17-07-2011,,0,3.5,A 2008 and a 2010.
2010,28-07-2011,,0.049,2.5,Why we'll never buy American again:
