year,date,qtr,Vader Sentiment,Normal rating,Normal rating,review,,,
1992,25-10-2011,4,-0.5927,1, Car was overall a decient car for $100.00 however the subframe rusted out at the rear passenger side mount and the subframe dropped out luckly just after exiting the interstate. No I'm not embelishing this story it's all true!! After finding out there was a safety recall on this car from ford and the National Highway Safety Association. I contacted Ford and was told they would NOTY do anything to help me because of the age of the vehicle. I was also told not to contact them again. i know i only paid $100.00 for the car but I put plenty more into it which I was not able to recover via driving it. The car went to salvage with all the new parts i installed which i got $50.00 after towing.,,,,
1993,11-03-2002,1,0.674,3.875, Ive had problems with the starter wires falling off their connections. Easy fix once it was found,,,,
1993,12-03-2002,1,-0.1027,3.625,Power Everything.  Extremely comfortable.  3.8 L has lots of power.  Decent mileage on the highway.,,,,
1993,17-03-2002,1,0.5563,3.625, It's a pretty nice car.  Semi-sporty... plenty of power and fun to drive.  This car takes to Interstate roads like it enjoys them.  Very comfortable.  Very safe.  Unfortunately they also tend to have a variety of mechanical problems.  You can expect to be in and out of the garage every few months with a $100-200 repair bill.  But if you don't mind having to get them fixed up a few times a year they are nice cars.,,,,
1993,31-03-2002,1,0.9616,4,SHO repair expert to get any the work ,,,,
1993,13-01-2004,1,0,3.875,   It is a great car when its been ,,,,
1993,10-02-2004,1,0.6249,3.5,hand full of problems ever since.  we ,,,,
1993,30-03-2011,1,0.128,4.5, This has been my favorite car.,,,,
1993,01-04-2002,2,0.4588,4.25,properly maintained.  The car needs A ,,,,
1993,08-05-2003,2,0,3.75,"Take steps to improve engine performance and ABS system performance.  They all need to be recalled and repainted and have the ""intermittent"" part of the wipers to actually work.",,,,
1993,19-05-2003,2,0.4404,4.875,,,,,
1993,25-05-2007,2,0,4.75,I have taken it on numerous long trips including a driving vacation last summer from Washington state to lower California and back last summer.,,,,
1993,18-04-2008,2,-0.296,3.625,done.  Any work will be fairly ,,,,
1993,05-05-2009,2,0,4.875,unit rebuilt the transmission replaced ,,,,
1993,31-05-2010,2,0,4.375,have replaced the motor mounts rear ,,,,
1993,16-04-2016,2,0,2, It's a good looking body design cheap on the used market and the steering is responsive with a good radius but the transmission can be abrupt when driven aggressively. My only real frustration is the rear brake drums becoming warped too early (replaced a couple of times). The 3.0l v6 will not out pace many newer 4cyl cars and the fuel milage is consistently 20 mpg city or highway despite tune up fuel/ air filter replacement. It has been pretty reliable except the starter and issues with rear drums. I picked it up cheap and in pristine condition yet I'm looking for another car. There are plenty of cars that match or even get better fuel mileage and perform better. It would make a great spare car.,,,,
1993,16-07-2004,3,0.9451,2.75, we got this car in 2000 and have had a ,,,,
1993,12-08-2004,3,0,4.125,I get roughly 26 mpg highway.,,,,
1993,04-07-2010,3,0,4.375,I bought it in '05 with 80k miles on it.,,,,
1993,05-09-2013,3,0,4.5,struts fule pump air conditioning ,,,,
1993,27-08-2015,3,0,2,I have more than doubled those miles.,,,,
2000,19-01-2010,1,0,3.625,Turns out it was a great move. I've had it now for 12 years and it has 33500 miles on it. I'm shooting for 400000!,,,,
2000,30-03-2010,1,0.6588,4.875,None. Everything has broken.,,,,
2000,31-01-2011,1,-0.4767,4.5,There are some minor things that have eventually failed such as a CD player which for some weird reason only allows me to change CDs the first thing in the morning. I still drive it daily for work. I still drive it daily with no fears.,,,,
2000,19-01-2014,1,-0.8402,4.625,It's a decent easy to fix car for cheap. Good for a first time driver or someone on a low budget. If you can afford it get a better car.,,,,
2000,28-01-2016,1,0.765,2,Very very dependable car .... I've had only 3 mechanical problems in 12 years! Cute looking comfortable to sit in for long periods. Great sound system. I love my Focus!,,,,
2000,13-05-2006,2,0.9258,1,Fun to drive fast lively engine styled well for a 2000 awesome speakers,,,,
2000,17-04-2011,2,0.9081,4.75,CHEAP,,,,
2000,01-04-2013,2,0,5, Very reliable! I have had my Ford Focus for 12 years and have never had any major problems Awesome gas milage at 32 mpg. I am six foot and it is a very confortable for me. My kids who are 5 ft. 5in. and 5ft. 6in. sat in the back seat for three hours driving to detriot with no complants. Has 200000 miles on it and it still runs good. For its age it is still very stylish. Takes my wife to work 30 miles a day and only have to fill up the gas tank once a week. I would strongly recommend this car. Just gave it away for a 2008 for a newer 2008 Focus,,,,
2000,23-06-2013,2,0.7901,4.25, My focus has been going strong for 184k miles which probably isn't the norm. It idles rough from an unbalanced engine. The power locks and a/c don't work. The headlights are easily scratched and get really dim. The hatch doesn't hold open in the cold. I've had to replace the ignition ($300) struts ($400) ball joints ($500) and vacuum hose ($80) in the 60k miles I have owned it.,,,,
2000,18-05-2014,2,0.6908,3.625,If you find a well maintained  2000-2004 SW with a ztec engine  it should be a fine car to own and drive.,,,,
2000,14-08-2002,3,0.4404,3.25,I'm a polite guy I really do not want to curse.,,,,
2000,02-07-2005,3,0.3322,4," I bought the car with 60000 miles on it. I have got to admit now that I was down in the dumps when I bought that Ford nightmare. The next day as I was driving to work the Ford nightmare had a fuel pump problem and then the timing belt literally exploded and then oil leak and then fuel leak and then the AC broke down and then the water pump broke down and then the back power windows broke down and the car stereo broke down -- I had to hit it hard with my fist for it to function several times and then the Ford nightmare is a noise box and then and then and then. How many times did I say ""and then"" -  I have lost count.  Mayday Mayday Mayday DO NOT EVER BUY a FORD EVER Please...",,,,
2000,07-08-2005,3,-0.9652,1.875, I purchased my Focus in 2001 with 33000 miles and had no problems for the first 6 months; from then on it's been down hill. Recall on the rear wheel bearings recall on the battery cable that also blew my alternator and battery all 4 power window mechanisms have broken ($500) the brake job cost $500 because you have to get new rotors EVERY TIME -- they can't be machined the cooling system needed extensive repair ($2000-$3000) the electrical control for the air conditioner broke ($379) the CD player broke haven't gotten that repaired yet the ignition cylinder locked closed so I couldn't put the key in -- $1000 plus tow and the trunk lock broke ($700). To make it short over $7000 in repairs thus far.,,,,
2000,25-09-2006,3,-0.9371,5,cheap interior and exterior mediocre build quality back seat is cramped. ,,,,
2000,24-08-2008,3,0,4.625,More importantly other than routine maintainance the car has only had mechanical problems 3 times in all those years and miles (a broken fan belt and two failed alternators). That's it!,,,,
2000,07-07-2013,3,-0.6704,4.375,NEVER buy a Ford let alone a Focus.,,,,
2000,06-10-2010,4,-0.25,3.125, This car was just totaled and that's the best thing that ever happened to us.  We have spent so much money on it: engine lock cylinder window motors etc etc.  There really is not much good that I can say about it.  I looked it up on the Ford website and it was the second worst Ford ever made and the worst Focus ever made.  It had over 100 recalls!  Stay away from this car!,,,,
2000,14-12-2011,4,-0.79,3.875, I got the car about two years ago from my aunt who is possibly the worst car owner on the planet. The car was broken down barely running dirty everything was broken. I got my hands on it and about 1300 dollars later it was running good. The best part about this car is how fun it is to drive. I can take off faster than half of the cars my friends have. The car feels alive you can feel it. I just wish it was a little bit better quality. The interior is nice but cheap. You can tell. The outside is styled well but it's also made with some cheap-looking parts. It also feels like it won't be running so good in a few years. Who knows it might last me forever.,,,,
2000,13-11-2012,4,0.9371,4.625, My 2000 Ford Focus is the only vehicle that I've bought brand new ... on an angry whim when another Ford I owned broke down one too many times.,,,,
2000,03-10-2015,4,-0.7269,5, The ztec is a great little engine.  my car has 162000 miles (260000km).  originally paid $16280USD ttl included.  i've been through two sets of all weather tires and two sets of winter tires (pass driving is much easier with snow tires).  I've replace the brakes twice one set of struts timing belt replaced (yes it is a necessary maintenance item at about 100K.  two sets of spark plugs an EGR valve and an O2 sensor and tie rod ends thanks to the crappy seattle roads. Oil changes every 5000 miles and transmission oil changed  every 30K miles.  I just replace the batter for the second time in 15 years.  It's been a super inexpensive car to own. and I rely on it for 350 mile trips on a regular basis.,,,,
2001,22-02-2003,1,0.9001,2.75, 2001 bad year for the Focus.  Build ,,,,
2001,14-03-2011,1,-0.5423,3.5,quality issues.  Simple things like ,,,,
2001,12-03-2012,1,0.3612,2,By keeping up on the oil changes/tune-up's we've had no major issues other than changing out the ignition once while it was still under warranty.,,,,
2001,06-02-2013,1,-0.296,4.375,My sercet is to change the oil every 3000 miles. Do not wait the 3 months if you are driving like I do.,,,,
2001,29-01-2016,1,0.3612,5, I purchased my '01 Focus Wagon SE from a dealership in 2011 with ~190000 mi on it for $2850. It has been almost 2 years now and this car has given me almost no grief. ,,,,
2001,25-06-2009,2,-0.5898,3.5,36000 mile warranty not near enough ,,,,
2001,12-05-2013,2,0,1.875,This is the best car I've ever owned.,,,,
2001,22-05-2013,2,0.6369,4.5,In the 5 years I have owned the car which I purchased used with 66000 miles it I haven't had a repair bill over $360. And that was for the water pump and the timing belt at 215000 miles.,,,,
2001,25-04-2014,2,0,2, I bought this car over a year ago and should've taken it to a mechanic.,,,,
2001,20-05-2016,2,0,1,We now have over 225000 miles on the car with little maintenance.,,,,
2001,11-09-2009,3,0,4.625,entirely.,,,,
2001,23-07-2010,3,0,2.125,My only wish would be for the seats to sit a bit more like a chair. The low angle can get to you on long trips. ,,,,
2001,13-07-2011,3,0.5256,4.125, Yes I have 242000 miles on my '01 Wagon. I have had to replace my share of tires and brakes due to the 600+ miles I drive a week. ,,,,
2001,03-08-2012,3,0.5994,1.375,Great mpg (30-40 avg overall); I mostly drive freeway.,,,,
2001,03-08-2013,3,0.6486,5, I bought this vehicle new in 2001 (Focus ZX3 hatchback; 5-speed manual with no air conditioning or electric windows).,,,,
2001,02-11-2003,4,-0.296,4.875,To date I have replaced the battery(it had a go-cart battery when I bought it) rear wheel bearings rear and front brakes alternator full front suspension new tires.,,,,
2001,29-12-2006,4,0,5,I drove it 3 thousand miles the first month I had it.,,,,
2001,27-10-2010,4,0,2.25,rivets and screws failing or missing ,,,,
2001,28-10-2012,4,-0.7579,2.625,It had 251000 miles on it.,,,,
2001,05-11-2015,4,0,4,I bought it for $1200 from a guy in my town.,,,,
2006,22-03-2011,1,0,3.75, I personally loved the car until I became victim of the 50k + transmission,,,,
2006,10-02-2013,1,0.4215,3.75,Mileage and fun to drive.,,,,
2006,13-02-2014,1,0.5106,4.375,bad- it slips and knocks. Talked to numerous,,,,
2006,27-02-2015,1,-0.5423,5,none anymore,,,,
2006,29-02-2016,1,0,5, Bought the SE V6 in new. The v6 runs great and still does for me but I also do regular maintenance myself and change the oil every 3k on the dot. Keeping 34psi in all tires is so important for gas mileage as well. These cars can't and aren't made to be dogged and that is why people have rough shifting. It's all what you put into the car I just hit 200k and still have no issues with power loss rough shifting and average 23mpg.,,,,
2006,15-06-2011,2,0.361,4.875, I love this car! Its sporty fun and practical. The only problem i've had with this car is the clutch went out at 90000 miles...bummer but i'll get over it. This car is pretty quick off the line considering what its made for. This car is 100% in every way.,,,,
2006,24-04-2013,2,0.8172,2.25,mechanics and been given runaround! Will,,,,
2006,06-07-2010,3,0,3.375," So far this has been ""ONE FUN"" car to own and drive. MPG averages 27.4 city/31.3 hwy. Look forward to driving it everyday. ",,,,
2006,26-08-2011,3,0,2.625, I puchased a brand new 2006 Ford Fusion,,,,
2006,05-07-2012,3,0,4.5,Costumer service... When their product has a known defect it should be fixed free of charge especially when it involves safety.,,,,
2006,18-07-2014,3,0.5719,3.75,On the detailing of the grill it should have been chrome not plastic. Otherwise I have no complaints this is a finely built and engineered vehicle. It is well worth the money.,,,,
2006,03-09-2014,3,-0.2263,4.125,74000 miles on it and the transmssion is going,,,,
2006,25-09-2015,3,0,5,defect. There is a big problem with these transmissions. The car becomes outright dangerous to drive. Symptoms include violent jerking when trying to accelerate to pass followed by loss of speed. At times the tranny with simply drop out of gear as if it went into neutral while cruising along on the express way. That's always fun when there is a semi on your tail.,,,,
2006,01-07-2016,3,-0.9042,4,There are ALLOT of complaints to Ford and government agencies but they refuse to do anything about a known defect in certain transmission that is extremely unsafe.,,,,
2006,05-10-2006,4,-0.6249,4.875,6 disc exchanger that loads in the car (and not the trunk) and mp3 compatible -  I am a music connoisseur and this has a really good sounds system and display. I also love the key fob and how everything is designed into the key  not on a separate holder,,,,
2006,24-10-2006,4,0.8122,4.875, This car handles exceptionally well it has a lot of power in the acceleration with the V-6. It handles the highway and curves very well. I like the fact I purchased with the maximum options on this vehicle otherwise I would not be satisfied. The basic versions just don't have the same kick! I love the butter leather seats I feel like I am driving very high quality expensive vehicle without the expensive price!,,,,
2006,25-10-2006,4,0.9152,5, I have driven pickups all my life and I was not sure how I would like driving the Fusion on a daily basis but it has been very good and is very comfortable for long trips and office trips.  The V6 is the best option for engines and leather seats comfort the ride.  This vehicle is a winner.,,,,
2006,04-11-2006,4,0.9792,4.375,Make a sportier version.,,,,
2006,28-11-2006,4,0,4.125,The five speed tranny.,,,,
2006,16-11-2015,4,0,5,because of reliability and currently have about,,,,
2008,26-03-2009,1,0,5,stereo comfortable seats smooth ride,,,,
2008,08-04-2010,2,0.5106,3.5, Just got the car last week. Love it so far. Haven't noticed many problems. Dealer replaced tires when I purchased it original tires were shot after 44000 miles. Love the stereo controls on the wheel. Needs a light for the back seat. Needs trunk button inside car. Wish gas cap was on driver side. Trunk is hard to open seems too heavy. ,,,,
2008,15-05-2010,2,0.9355,2.125,Move the emergency break to the passanger side of the console. I think a two door convertible would be fantastic. I'd buy one tomorrow.,,,,
2008,19-06-2010,2,0.25,4.5,SYNC and great sounding stereo system; like the sun roof; leather; room; looks; and handling. I weight about 320 @ 6 ft and people are amazed when I get out of my Focus really I have plenty of room have been on several thousand mile trips no problems.,,,,
2008,10-06-2013,2,0.7096,4.375," Bought a 2008 Focus Automatic(why doesn't Edmunds have the automatic as option for review?) brand new. First winter the passenger side door lock froze. 6months into ownership of it the carpet came undone from under plastic door trim on both sides of car. Same issue with ""09"" too. 2 years in the trunk door latch is blown. We had to rig it so can open from pulling a rope threaded though the fold down back seat. Asked it to be repaired when had it in for service and idiots at shop failed to do anything to it. Haven't taken it back. 5yrs old now and back door on passenger side will not latch. Going to have to have it repaired when have the money. Issues with alignment on it and the 2009 too.",,,,
2008,20-07-2010,3,-0.5859,5, Still driving my little red beauty. She's happy and well. 34.9 mpg average running 75 mph on i40 and trips . On my third set of tires got Michelin this time. Second windshield. Oil change every 5000 miles. Doors still tight. No frontal alignment has been done. Tires wear evenly. It just hasn't cost me much to drive it! Love it. Love it. Love it!,,,,
2008,07-09-2010,3,0.9694,3.75,It is great! Good gas mileage plenty of power (for a 4cyl.) and the inside design looks awesome I've gotten many compliments even now 3years later.,,,,
2008,28-09-2010,3,0.9336,4.875, This is the first brand-new -0 miles car I have ever purchased.,,,,
2008,31-08-2011,3,0,4.5,Fav features of 08 Gas mileage.,,,,
2008,20-11-2010,4,0.4588,4.75,Suggest that they stop being so cheap with the carpets. Having two focus have same issues with carpets coming undone it can't be a fluke. Have heard others have same issue too. ,,,,
2009,05-01-2010,1,-0.296,5,The amont of space in the 2nd row. The refrigerated rear center console. The vista roof.,,,,
2009,12-01-2011,1,0,3.125,braking system. audio for sync calls.,,,,
2009,17-02-2012,1,0,4.375,  I was happy with the ride and feel until I hit 20K and noticed a momentary grinding when I applied the brakes.,,,,
2009,08-03-2013,1,0.5719,3.75,I suggest they actually fix what is wrong with the flex instead of making excuses as to why they have no responsibilty for fixing things that are covered under warranty.,,,,
2009,22-03-2013,1,-0.6486,3.25, i LOVE this car's comfort style buttons & cup holders where you need them.. ford always does a great job w/ that..,,,,
2009,23-04-2011,2,0.9106,3.375, I HATE HATE HATE to say it but the title reads true! My father retired with Ford and our family has a LONG history of buying/owning Ford vehicles! BUT this one missed the mark.,,,,
2009,21-04-2012,2,-0.7804,2.25, My husband and I have had nothing but problems since we got our flex. What's worse is the countless number of times we have to take it in to the dealer. They do not acknowledge the fact that this car should be considered a lemon. It has a foul smell coming from the ac/heater the brakes grind and pulsate when you apply pressure the interior has a constant rattling sound the front console latch broke off within one month of buying it the cheap plastic air vent covers fell off within 6 months of buying the vehicle and the transmission grinds jerks pops and seizes up often. We bought it from ken grody ford in carlsbad ca and they sold it to us with electrical problems in the headrest!,,,,
2009,05-04-2016,2,-0.811,5,"At 25K a periodic squeal was noticed but the Ford dealer inspected and said the brakes were ""good"".",,,,
2009,22-06-2016,2,0,4, Well I've had this car for over 7 years just rolled over 200000 miles yesterday and can say I've had one problem with the power steering that cost about $340. Other than that besides regular services its been a great car. Hopefully I can go another 200000 on it and get some good use out of it. Recently my mom drove the car and was very impressed how well its held up. Still has the original brake pads and original clutch.,,,,
2009,31-08-2010,3,0.9549,4.375," My wife and I drove numerous cars before deciding to purchase our 1st and last Ford vehicle. At first it seemed to be the answer to all of our needs. We purchased this car new in NOV 08. Within 6mnthswe had to take the car in to have the ""sync"" systems wiring harness replaced 4 times and the touch screen once! Within 16k miles (2 years) we had to replace the front rotors and brakes. And now just 11 months and 10k miles later we now need to replace the front rotors again the rear brakes and the rear rotors! Ford Corporate was of no help for this non-warranty item stating ""normal/routine maintenance"". Not to mention the horrible screeching sound that comes from the brakes also ""normal""",,,,
2009,23-07-2011,3,-0.555,4,ride interior space and comfort,,,,
2009,30-07-2012,3,0.3612,4.5, I'm like everyone who owns a Ford Focus and can't complain about them. I have a 2009 Ford Focus SEL. I love everything about it. Especally love the Sirius Satellite Radio. I can't go anywhere without listening to it. My mom and dad helped me buy it. It was a birthday gift. My dad was dead set against it. He kept bugging and nagging about how about a Hyundai Chevy Toyota ANYTHING BUT A FORD was his very words. Finally made him come out of his stubborn shell. We went to the dealership where it was we took a test drive and he never complained about it ever. How can anyone complain if you can put a full tank of gas and your good for the next 300-400 miles. ,,,,
2009,06-07-2013,3,0.8692,3.875,Quite a bit of black dust seemed to accumulate on the two rear wheels.,,,,
2009,17-09-2014,3,0,1,Overall I hate this car. I regret buying and the pretty exterior and fancy features are not enough to make me like it! I would declare it a lemon!,,,,
2009,06-08-2015,3,-0.3365,1,Sometimes a gaslike smell was noticed after breaking.,,,,
2009,13-10-2010,4,0,5,Headrests on front 2 seats - they stick out too much and is very uncomfortable.  The phone needs improving - I don't use mine anymore because it would not work correctly and people on the other end couldn't understand me.  Would not get one in another car.  Not worth the money.,,,,
2009,07-11-2010,4,0.204,5," My husband and I have been married 37 years and have always been Ford owners.  The best purchase ever is the Ford Flex.  We like to travel and the ride and comfort in the Flex makes the trip enjoyable and relaxing.  Our family and friends have alot of precious memories spent together traveling in the Flex. We tell everyone how much we ""love"" our Flex and recommend it as a great car to purchase.  I can't wait for Ford to offer another 0% financing on the Flex so I can purchase a new one to enjoy.  I don't understand why Ford does not advertise the ""Flex"" because to me it is the best car on the road.",,,,
2009,16-11-2010,4,0.9883,3.125,,,,,
2009,17-11-2011,4,0,3.875," I have 52k on the car and the rear brakes are having to be worked on again. They are telling me that it is the ""elements"" if Michigan driving is a problem for the brakes on this car they may have a few problems to work out! The rear parking sensor has stopped working and is not covered under warranty too many blind spots for this short girl to try and navigate blindly!Love the ride and comfort of the car but i think i will have to move on from my first and probably last ford vehicle.",,,,
2009,19-12-2011,4,-0.5905,2.75,Very easy driving; comfortable seating; big enough but not too big; Sirius radio; miles per gallon; rides fantastic.,,,,
2009,28-12-2012,4,0.8511,3.25,At 29.5K the brakes made a grinding sound and were visably scored (rear left).,,,,
2009,14-11-2015,4,0,4, Bought this car with 47000 miles in it in 2012. Needed it for gas mileage because I commute 50 miles one way. It's been a great car. Have 150000 now. Still gets great gas mileage. I average 34 mpg around town and 38 on the road. I've taken it all over the United states and keep up maintenance. The most I've done is replace gasket seals.,,,,
2009,26-12-2015,4,0.9001,4, This is a great car for a first time driver or small family. I'm 20 years old and I needed to upgrade really bad. I was driving a 1993 cavalier. I didn't have a lot of money to spend and I wanted t dependable car. So after looking and looking I found a 2009 1 owner focus with 46k miles. This was just 9 months ago. I've already drove 16k miles! This is a great car. I do have the base model but that helped with the price.,,,,
2009,27-12-2015,4,0.458,4, Overall this is a great car! My ford focus is currently at 171000 miles and is still going strong. The only things we've had to replace so far is the tires battery spark plugs etc. Comfort is great in the front seats however if you have multiple people in your family or have a carpool you should know the back seat is VERY tight.. still comfortable just not designed for anyone tall.. The other complaint would be the fact that they offered lighter colors in the focus. I believe most all cars should either have black interior or VERY dark gray.. We got an awesome deal on the car because of how stained and gross the inside is.. floorboard carpet and cloth seating looks terrible.. even after I've used several stain removers..,,,,
2009,30-12-2015,4,0.9648,1, BUT UNDER THE HOOD.. not so much.. :(,,,,
2010,21-03-2010,1,0.5296,4.375,The instrument display is easily my favorite feature on the vehicle.  It's clean clear and easy to read with a glance.,,,,
2010,27-01-2011,1,0.9118,3.875,Dealer is as frustrated as we are Ford sent out an engineer who said he could not replicate the problem.,,,,
2010,13-02-2012,1,-0.2828,4.375, I have a 2010 Flex with ecoboost and have very few complaints about our vehicle thus far. It's pretty good on fuel (when you don't put your foot in it which is almost never) it's an extremely comfortable and versatile car and did I mention it has ecoboost? I'm not a huge fan of the marketing speak Ford used to describe this twin turbo direct injection engine but this motor deserves every positive word said about it. I've done some light duty towing and the motor feels as though it is never straining. Passing power is where the powerplant shines. My only minor nits to pick would be a couple of trim pieces which have broken and a faulty O2 sensor which were both under warranty. ,,,,
