Post,comments
" Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. 

#FordLeMans
…see more
","Ray Svetichan II
      
 Can't wait to watch this.  I was watching the tweenty four Hours of Le Mans over the weekend for about tweenty hours, missed the first couple scenes.  Was rooting for Ford  GT.  What two pots of coffee can do to a fan that is all I needed"
" Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. 

#FordLeMans
…see more
",
" Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. 

#FordLeMans
…see more
","Rick Heon
      
 Race Fans this should be a good one !"
" Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. 

#FordLeMans
…see more
","
 Bobby Cerchione
      
 Looking forward to seeing this! History made again!"
" Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. 

#FordLeMans
…see more
","
 
Grace Preston
      
 Absolutely spectacular story and well done documentary.  Highly recommend!"
" Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. 

#FordLeMans
…see more
","
Ken Appell Jr
      
 Outstanding!"
" Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. 

#FordLeMans
…see more
","
 Tim Papirnik
      
 Thank you Ford!"
" Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. 

#FordLeMans
…see more
","Kevin Duby
      
 Good documentary.  Worth the watch."
" Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.
","
"
" Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.
","Rick Heon
      
 Henry Ford must be quite pleased, Looking Down on this.

"
" Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.
","Sidhesh Patil
      
 What is so groundbreaking about it? Flight Simulators and Hazard Perception Test Software for Drivers License has been around for quite many years.  It would be groundbreaking if ............ hmm........not telling!
"
" Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.
","
 
Ehsan Tahmasebi
      
 Salman Masoumi FYI!


"
" Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.
","
 Gregorio Villacorta-Alegria
      
 Dear friends, I am from Peru and I am civil engineer, And like engineer I have been reviewing safety in car .before buy one for.me.and carry my precious family. All the marketing here is from Honda about his ACE Advanced Compatibility Engineering and that they have the more engineered and.research about safety.structure of the vehicle, but about Ford I dont read.nothing, and I am.about.to buy a Ford Ecosport built in Brasil, but I am fear about Ford not to do research and innovation on compatibility and protection.of the structure of the car. Thanks.in.advance. Gregorio 
Carlos E. G. Santi, MSc.

 Dear friend Gregorio. The Ford test at Latin NCAP is almost 4 years old. I´d rather go with Honda HRV for that matter, as tests were made in 2015 and seem quite better (Here we came accross the discussed problem addressed by Globan NCap about different markets and different approaches by the same brands regarding safety) . Ford also have been struggling with the Powershift transmission with all models, too (not only the Brazilian made models). The 2018 Ecosport seems to be skipping this automatized transmission system though, possibly for those reasons."
" Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.
","
Winston Yang
      
 What about AR, should be more productive. "
" Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.
","

"
" Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.
","
 
balaji venki
      
 sir can get job from your company
"
" Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.
","
 RAHUL SARAF
      
 .

Go for ECO SALAAMI Waterless car wash in kolkata and save 120 litres of clean water per car.
SAVE WATER.

Kindly call @ 8240954903/ 7278590365 to book your wash @ your doorstep.

We also give service at office, malls, restaurants, hotels, school, colleges, etc.
…see more"
" Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.
","Kunle Oye-Igbemo
      
 I will like to be the face of Ford Motors and your brand identity in Nigeria. Ford is my dream car. "
" Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.
","
 
        Dinesh Manoharrao Aware
      
 Idea for Ford Driverless
++++++++++++++++++++++++++
Cryptocurrency mined out of Driverless Connected Car Ecosystem, framework On Blockchain platform  as Proof Of Work or POW or Proof Of Stake or POS
++++++++++++++++++++++++++ 
Details: 
I have already posted on my linkedin profile. 
Idea: 
Cryptocurrency mining out of driverless connecred cars eco system based on blockchain technology. i.e generating  or mining a new crypto coin Coin called as ""Vahan"" word is mother of latin word ""Vehiculum"" . Any other name too possible. 
How it will be produced ? 
This currency will be rewarded to miner for carrying outresearch, development  work, activities, innovations, securing network for this ""Vahan"" coin transactions as Proof of Work POW or Proof of Stake or POS. I dont have infrastructure, manpower to do all this reasearch so I am requesting Oracle, Google, IBM , SAP, Microsoft, Tata Motors, Tesla, Suzuki, Ford, Toyota , Mr. Satoshi Nakamoto, Mr. Vitalik, all crypto currencyinnovators, global IT giants  to help  me achiving this objective. 
This curency value will grow as things moves ahead on blockchain driverless connected car world. This new cryptocurrency will be exchangable in all global virtual  currency exchnges like Localbitcoins.
"
" Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.
","
 
Naveen Kumar S
      
 Sai Prudhvi Nagireddy


"
" Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.
","
 
        Nathan Lemire
      
 ""been there done that"" https://www.tesla.com/en_AU/ 

"
" Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.
","
 
        Gregorio Villacorta-Alegria
      
 Dear friends, I am from Peru and I am civil engineer, And like engineer I have been reviewing safety in car before buy one for.me.and carry my precious family. All the marketing here is from Honda about his ACE Advanced Compatibility Engineering and that they have the more engineered and research about safety structure of the vehicle, but about Ford I dont read nothing, and I am about to buy a Ford Ecosport built in Brasil, but I am fear about Ford not to do research and innovation on compatibility and protection of the structure of the car. Thanks in advance. Gregorio
…see more
"
" Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.
","
 
Cary Beach
      
Just heard on news Ford moving Ford Focus to China.  I'm very disappointed  with Ford for this. I will buy only made in America cars. Ford could choose to move the China built Focus to the United States but chooses to be a trader to the American  people who built Ford to Bee what it is today .  I will Never by made in China cars ever!"
" Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.
","
 
 Michael Doyle
      
 Last Wednesday evening 23rd June, on the hottest day of the year, Ford Roadside assistance left a confused and vulnerable 77 year old woman high and dry stranded in my country village in Bucks.  She was forced to stay in my house from 20:00 until 22:45 when I put her in a taxi home because the guaranteed response time magically increased from 22:30 to 00:30 and I needed to go to bed.    Naturally once I had paid £60 of my own cash on her taxi, Ford online Customer Service washed their hands of the situation and passed the buck to the lady's local Ford dealer.  It's not my job to contact the dealer, it's Ford's job to ask their dealer to contact me.  On that basis I'll pursue my money through the online small claim court and Ford can pay the admin fee.  I have a civic duty of care and Ford need to recognise that.  Apart from the obvious reputational damage Ford don't seem to understand that if the lady had broken down 300 yards further down the road in 30 degree heat, they would almost certainly now be looking at a corporate manslaughter charge because they had no prioritisation in place.  Negligent on every level.  I won't ever be buying a Ford again......"
" Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.
","
 
Savas Karaoglu
      
 I have received 2013 mdel ford titanium powershift vehicle can not solve the problem of the transmission. My car chassis wf0mxxgcbmdc71840 the last place i went to ankara authorized service (tour car) changed 26081 km clutch but did not improve. At 40768 km they did not update again, so I can not sell the vehicle. I would like to reimburse my car because the vehicle is defective, otherwise I will make the necessary applications from the legal roads"
" Blast off! Discover how Ford engineers study robotic systems on the International Space Station to improve vehicle-to-vehicle communications.
",
" Blast off! Discover how Ford engineers study robotic systems on the International Space Station to improve vehicle-to-vehicle communications.
","
 
Kevin Bond
      
 Technology is amazing.

"
" Blast off! Discover how Ford engineers study robotic systems on the International Space Station to improve vehicle-to-vehicle communications.
","
 
 MUKESH KUMAR GUPTA
      
 Kindly visit and contact us-

URL- http://www.indianpetsociety.tk/
Mail-petsocietyindia@gmail.com
Facebook Page- http://www.facebook.com/indianpetsociety/
Instagram- https://www.instagram.com/indianpetsociety/
Linkedin-https://www.linkedin.com/in/petsociety-india-0aa428143/
Twitter-https://twitter.com/pet_therapy_ind
contact-9873622215"
" Blast off! Discover how Ford engineers study robotic systems on the International Space Station to improve vehicle-to-vehicle communications.
","
 
 Justin Fan
      
 Very interesting."
" Blast off! Discover how Ford engineers study robotic systems on the International Space Station to improve vehicle-to-vehicle communications.
","
 
Sidhesh Patil
      
 So if I am reading the article correctly - if no network offers 100% coverage nationwide, then for your signal/message to traverse over a network, one should always drive a Ford and should always have other connected Fords between your Ford and the nearest Telecommunication Network Access Point!....Amusing Solution!!"
" While technology continues to evolve at a rapid pace, the industry is regressing in terms of gender diversity. Ford is working to change that.
",
" While technology continues to evolve at a rapid pace, the industry is regressing in terms of gender diversity. Ford is working to change that.
","
 
Steven Chase
      
 MARVELOUS :)

"
" While technology continues to evolve at a rapid pace, the industry is regressing in terms of gender diversity. Ford is working to change that.
","
 
Capt Vivek C Gupta
      
 VIN No: MAJBXXMRTBCD09158
Last reported service date: 24-Dec-2016
Last reported mileage (Kms): 75257

Narain Ford Lucknow declines to service the vehicle as we had complained against their poor quality work, poo technical knowledge, unable to trace andvrectify faults under warranty, excessive and cheated billing etc. Documentary evidences were sent to Ford India customr service desk by email but they diplomatically did not accept buyers claims and favoured the dealer. Ford senior management contact details are unavailavle on web nor in fords webite and customer service does not probably allow access to senior management of the ground reality with ford service quality and sufferings to its customers."
" Extreme testing is the name of the game. Discover how Ford engineers assess the durability of interior materials.
","
 Kelsey Waugh
      
 This is basically what I do for a living :)"
" Extreme testing is the name of the game. Discover how Ford engineers assess the durability of interior materials.
","
 
Gregorio Villacorta-Alegria
      
 Dear friends, I am from Peru and I am civil engineer, And like engineer I have been reviewing safety in card.before buy one for.me.and carry my precious family. All the marketing here is from Honda about his ACE Advanced Compatibility Engineering and that they have the more engineered and.research about safety.structure of the vehicle, but about Ford I dont read.nothing, and I am.about.to buy a Ford Ecosport built in Brasil, but I am fear about Ford not to do research and innovation on compatibility and protection.of the structure of the car. Thanks.in.advance. Gregorio"
" Extreme testing is the name of the game. Discover how Ford engineers assess the durability of interior materials.
","
 
Gary R Wilson MBA FCMI
      
 If this is taken up, then the Panda's habitat may finally make a come-back.

 

Siddhesh Thorat
      
 Sir, I think, Ford was already working with Weyerhaeuser way back to replace fiberglass with plant based materials for interiors. Wasn't it?"
" Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.
","
 
 Rob Grantham
      
 Hemp, hemp, hemp

"
" Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.
","
 
Peter Gold
      
 You know it amazing. To reduce weight and add costs Ford Motor makes trucks out of aluminum to make a more fuel efficient vehicle.   Honestly, why not reduce the weight of the aluminum to equal the now structural integrity by at least 30 percent?  Yes, I provide information of what I can do.  I charge for advice that gives more than answers, but conclusions you can take to the bank. 
…see more"
" Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.
","
 
        Steven Chase
      
 
    MARVELOUS :)




Like

   Steven Chase’s comment


Reply to Steven Chase’s comment


Reply


2 Likes

      2 Likes on Steven Chase’s comment
    
 
1 Reply

      1 Comment on Steven Chase’s comment
    




1mo

Open options for Atul Kumar Gupta’s comment





 


 
        Atul Kumar Gupta
      
 Hi Steven.....for which country


"
" Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.
","
 
        Michael Gonzalez
      
 It is very exciting to see Ford continue to innovate and research to crest a better and more sustainable future! Thank you!"
" Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.
","
  Juliane Watanabe
      
 Felipe Sperduti Machado"
" Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.
","
 
Siddhesh Thorat
      
 Yes, I have seen and studied this same technique that was used in Ford Figo models... I also made a sample of one such natural fiber composite for the interiors of automotive with same mechanical properties..


"
" Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.
","
 
Rick Heon
      
 A Job well done. Thank you


"
" Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.
","
 
Didier Lebrasse
      
 Hope that the dual clutch shudder problem for the ford focus will be solve soon. Customers are very angry worldwide for this concern.

"
" Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.
","
 Jose R Martinez
      
 https://www.gofundme.com/Foxbodyrestoration. Please help me to share my link
"
" Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.
","
 
        Thomas Miller
      
 Glad to see programs like this. As a father of a 14 and 16 year old, texting and driving might as well be drinking and driving.  Texting accidents will continue undermine advances in auto safety."
" Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.
","
 
        Suleman Malik
      
 great

"
" Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.
","
 
 sultan saif
      
 #Fabulous looking


"
" Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.
","
 
Shameer Ahamed
      
 B.E MECHANICAL ENGINEERING with 2 years experience in a reputed MNC
"
" Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.
","
 
 Rafik BOUMAZA
      
 standard manufacturing trainer, representative and supervisor since 4 years in automotive"
" Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.
","
 
navneet tomar
      
 pls take a look on my profile 9 years exp Design & NPD


"
" Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.
","



"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 Sushil Kumar Verma
      
 Please review my profile for HR Generalist, Total experience  14 years. 
BR
"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 Rick Heon
      
 Always a good sign.

"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
Sandeep Kumar
      
 I am doing diplima in automobile final yr how can i join ford"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
 Subham Bhowmik
      
 i am currently pursuing diploma in mechanical engineering. is there any vacancy in ford for diploma candidate? i also have practical knowledge in engine assembly ."
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
Jim Hackett
      
Fake PR. Ford announced last week they were cutting 10% of their work force.
    
Frank Hone, CCXP
      
 They also named Jim Hackett CEO..!



"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
 Yasmin Oliveira Prearo
      
 Alberto Fernandes




"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
David Townsend
      
Awesome
"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
Mithun S G
      
 Where it2 starting the RD center




"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
        Katherine L. Parker, MSBA
      
 I'm a 23 year Production Technician  (Hourly Assembly Line Worker) with Ford Motor Company and I posses 2 Master of Science degrees all to which Ford's education program funded yet they hire off the street or the management teams will hire their friends and family who have no college education or previous manufacturing/production experience to work in salary positions.  Lean manufacturing at it's finest.  Go Figure"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
 CAUVIN MO
      
 are they looking for any automation?


"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
Gregory Mosier
      
 What about your TPT process.  Are you working to improve that?  It's a big issue here in Louisville, Kentucky.


"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
Mike Tea
      
 Since you fired your CEO what direction will you go now? And now you plan on beating Tesla, how will you do that and keep investors and buyers at ease?


"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
Daniela Yapu Rojas
      
 Martin Gonzalo Yapu Rojas



"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
        Kothala V V Y D S Sairam
      
 I wan job sir My qualification ITI DISEAL MECHANICAL plz give job any manufacturing company...tq




Like

   Kothala V V Y D S Sairam’s comment


Reply to Kothala V V Y D S Sairam’s comment


Reply

 
1 Reply

      1 Comment on Kothala V V Y D S Sairam’s comment
    




1mo

Open options for Ford Motor Company’s comment





 


 
Ford Motor Company
      
 Visit http://careers.ford.com and apply to a position that meets your technical background. Good luck!



"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
        Vito Lena
      
 I'D LIKE TO WORK, PLEASE FIND A PLACE FOR ME.
I AM READY TO EXCELL AS YOUR EMPLOYEE !
THANK YOU VERY MUCH.

"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
        Abhishek Reddy Chencharapu
      
 Great

"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
        Peter Gold
      
 It is far better to obsolete car parts like I have been doing for last 30 years instead of making them from CO2.  
"
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 
        Peter Gruich
      
 They should work on making their cars produce LESS Co2.  Instead, they treat innovative people today just like they did the windshield wiper inventor back in the 60's so the BULLSHIT meter is pegged."
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
",
" We’re investing $350M in #Michigan, creating 800 manufacturing jobs.
","
 James Ricciuti
      
 If we implement more solutions like this we can extend the life of our planet and more importantly quality of life. The trouble is  some think the planet will be just fine on it's own. Is that gamble worth it with so many innovations that can reduce our carbon footprint ?
"
" Car parts made from…CO2? Yes! Check out how Ford looks to scientists to make car production more sustainable.
","
"
" Car parts made from…CO2? Yes! Check out how Ford looks to scientists to make car production more sustainable.
","
 
        Leon J Wright
      
 I drove the 2012 version and it past my tests perfectly. I am still waiting on Pegasus. Horse with wing's...
"
" Car parts made from…CO2? Yes! Check out how Ford looks to scientists to make car production more sustainable.
","
 
Seyed Mohamad Hosein Hosseini
      
 see my car design in my posts
"
" Car parts made from…CO2? Yes! Check out how Ford looks to scientists to make car production more sustainable.
","
 
        Michael Young, MBA
      
 For awhile....
"
" We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.
","
 
        Bob Miller
      
 A good friend of mine who was a car salesman used to call that color ""No Sale Green"" . . .

"
" We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.
","
 
        charles alvin scott
      
 I have read the article and the only thing guaranteed green is the colour BEVs  mainly plug into the Grid and that normally has about 50% Fossil Fuels, okay to transfer emissions to a power station when the numbers are small, however when there are millions of BEVs  that will still be substantial tonnes of CO2.

Of course that is if the grid has generating capacity to meet that demand.

What Ford ought to take a look at is my concept for a Hydrogen Rotary Engine-generator designed to power EVs.  This small car is limited to 100 miles with HyPulJet.2.0 power the range would be exceptional with On Demand Fuel production on board the EV.

Ford need to consider this before GM take a look because HyPulJet.2.0 will be a simple fit into a Chevvy Volt = Zero CO2  Zero NOx  Zero Particulate Matter.  In the UK the Volt is traded as the Ampera and there are two H2 Fuel Cell EVs at over £50,000  a Zero Emissions H2 Ampera would be £20,000 less than the FCEVs

HyPulJet.2.0 is up for grabs.
…see more




Like

   charles alvin scott’s comment


Reply to charles alvin scott’s comment


Reply




"
" We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.
","
 
 smart clipping
      
 http://www.smartclipping24.com/"
" We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.
","
 
        ARNESES AUTOMOTRICES EL MUNDO DEL ARNES
      
 Hola me dirijo a usted esperando que sea usted La persona indicada para ofrecer mi producto . Que es Arneses AUTOMOTRICES somos fabricantes . Comerciqlizadores e incluso importamos  . Esperando su respuesta saludos cordiales atte. Mayra Espinosa Arredondo 
mayraarneses@gmail.com

"
" We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.
","
 
 Graham Nightingale
      
 Strength in numbers.....???"
" We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.
","
 
        Jack Keebler
      
 Seeking engineering and design solutions in nature is smart."
" We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.
","
 
        Lakshmi (L.) Bose
      
 Nat Girish you can use this for any team training or your speech !"
" We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.
","
 
        Gregorio Villacorta-Alegria
      
 Dear friends, I am from Peru and I am civil engineer, And like engineer I have been reviewing safety in car before buy one for.me.and carry my precious family. All the marketing here is from Honda about his ACE Advanced Compatibility Engineering and that they have the more engineered and.research about safety.structure of the vehicle, but about Ford I dont read.nothing, and I am.about.to buy a Ford Ecosport built in Brasil, but I am fear about Ford not to do research and innovation on compatibility and protection.of the structure of the car. Thanks.in.advance. Gregorio
"
" What’s all the buzz about? Check out the surprising inspiration behind these Ford engineers' recent addition to the 2018 Ford EcoSport.
","
 
        Hassan Mostafa Technical  Director and Project Director
      
 this is Hassan, on behalf of Dr. abuallah Alreakan- Saudi Arabia, Locates at Jubail, I have his complaint concerning the plant  manufacturing error of the functionality of Airbag in the models of ford expiditions,  of Ford Expedition, modal 2016, supplied to the Saudi Arabian Market, the care has been smashed front the front, and the airbag if the car didn't inflate at all , there is a manufacturing error and malfunction of the safety factor in this car, I need the main plant to contact me dr. Abdullah for details and the whole story of the car at Saudi agent aljazirah vehicles agent co. Ltd 
my e.mail is: 'ph.albreakan@gmail.com', my mobile is: +966558844644,  "
" What’s all the buzz about? Check out the surprising inspiration behind these Ford engineers' recent addition to the 2018 Ford EcoSport.
","
 
        Kyu Hwang Cho
      
 You guys in Saudi Arabia must have an automobile assembly plant either from Ford or other OEMs."
" What’s all the buzz about? Check out the surprising inspiration behind these Ford engineers' recent addition to the 2018 Ford EcoSport.
","
 
        stanley john
      
 Plus we need here to in benin"
" What’s all the buzz about? Check out the surprising inspiration behind these Ford engineers' recent addition to the 2018 Ford EcoSport.
","
 
        Graham Adams
      
 we need quality from ford the cars they produce now are a cheap imitation of the ones that I grew up with too much technology and very poor basic design the ""award winning ""1.0l ecoboost engine is a perfect example of short sited design a poorly constructed split cooling system and cylinder head leading to the early failure of the engine with the head actually melting under the very high operating temperature the engine is designed as a throw away unit and replacement costs currently running at around £5000  mark with the bare engine costing an astounding £3800 my personal 30 year relationship with Ford is now over I will never buy another product from them 
#ecoboost #ecoboom #ecobomb #cylinderheadmelted #chocolateengine


 Rob Grantham
      
 shit happens. I currently have three Ford vehicles. f150,ranger and fusion...never had any major problems or issues..just typical, things after 15-20 years...
"
" What’s all the buzz about? Check out the surprising inspiration behind these Ford engineers' recent addition to the 2018 Ford EcoSport.
","
 
        Michael Bajer
      
 Then listen to your techs, quit trying to find ways not to pay them!!!!
    




Like

   Michael Bajer’s comment


Reply to Michael Bajer’s comment


Reply




"
" What does being ‘Smart’ truly mean for cities? Check out the many ways that Ford has helped revolutionize San Francisco with the power of mobility.
","
 
        Rob Grantham
      
 We have plenty of smarts for you Bill. I would bet the farm on it




Like

   Rob Grantham’s comment


Reply to Rob Grantham’s comment


Reply


3 Likes

      3 Likes on Rob Grantham’s comment
    



"
" What does being ‘Smart’ truly mean for cities? Check out the many ways that Ford has helped revolutionize San Francisco with the power of mobility.
","
 
Tim DeWitt
      
 It's like Ferrari says, ""self-driving"" cars would be ""obscene."" (See Turing Test.)

"
" What does being ‘Smart’ truly mean for cities? Check out the many ways that Ford has helped revolutionize San Francisco with the power of mobility.
","
 
        Trevor Gent
      
 Getting the current range of vehicles up to a modern specification and quality would be a better start. If you can't trust the basic tech used now how will anyone trust a fully autonomous vehicle. 


"
" Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.
","
 
        eduardo parra
      
 Muy buen dia! tengo una idea que romperá muchos paradigmas de seguridad en la industria automotriz, es de aplicación masiva, y no creará un conflicto comercial mayor en la misma industria (Al menos no entre  los pioneros). La vendo en 2.000.000,00 de dólares. Interesados, contactarme de forma privada."
